Dates,DVN
2019-06-17,27.18816375732422
2019-05-16,27.32439613342285
2018-08-01,28.063945770263672
2019-03-13,27.8887882232666
2019-12-03,27.879058837890625
2020-02-20,26.90596580505371
2019-12-06,26.078838348388672
2020-05-12,25.232250213623047
2019-12-09,25.008440017700195
2020-02-26,25.63121795654297
2020-05-15,25.69933319091797
2019-03-28,25.50471305847168
2018-09-17,25.79664421081543
2018-08-16,24.88193702697754
2018-10-19,24.852746963500977
2019-04-29,24.833282470703125
2019-01-23,26.15668487548828
2019-09-04,26.27345848083496
2018-11-20,24.48297119140625
2019-07-02,24.356468200683594
2019-05-31,23.412567138671875
2019-12-12,23.56826400756836
2020-05-18,23.509878158569336
2019-09-27,23.7823429107666
2020-03-03,23.4028377532959
2020-05-21,22.877370834350586
2019-05-14,22.984411239624023
2018-08-31,21.43719482421875
2018-07-30,21.038227081298828
2018-10-02,21.933473587036133
2019-04-12,22.643827438354492
2019-03-11,22.731407165527344
2019-02-07,22.750865936279297
2019-07-17,22.410287857055664
2019-09-19,21.09661293029785
2019-10-21,20.989574432373047
2019-12-18,20.765762329101562
2020-03-06,21.330154418945312
2019-10-03,21.933473587036133
2020-03-09,21.398271560668945
2020-05-27,21.495580673217773
2019-12-24,22.225399017333984
2020-03-12,22.867639541625977
2018-12-20,22.721675872802734
2019-08-01,23.96723175048828
2018-08-14,23.89911460876465
2018-07-13,24.29808235168457
2018-10-17,23.985567092895508
2019-05-29,24.483638763427734
2019-03-26,27.462303161621094
2019-02-22,26.055984497070312
2019-10-04,25.88019371032715
2019-11-05,25.35282325744629
2019-12-27,25.49931526184082
2020-06-02,25.22586441040039
2019-12-30,24.141826629638672
2020-03-18,24.13205909729004
2020-06-05,23.83907699584961
2019-07-15,23.682819366455078
2018-12-03,23.49726104736328
2019-06-13,22.598779678344727
2019-01-04,21.514741897583008
2018-08-29,22.139772415161133
2019-02-05,22.0714111328125
2018-11-01,21.378015518188477
2019-08-16,20.420936584472656
2019-04-10,20.57719612121582
2019-09-17,20.34280776977539
2019-10-15,20.762752532958984
2020-01-02,20.460002899169922
2020-06-08,20.479534149169922
2019-10-18,20.16701889038086
2020-03-24,19.90333366394043
2020-06-11,19.336896896362305
2020-01-08,19.7666072845459
2019-04-25,20.18655014038086
2019-07-30,20.801815032958984
2019-02-20,20.958072662353516
2018-07-11,20.967838287353516
2018-09-13,20.557662963867188
2018-10-15,20.899477005004883
2019-06-28,19.77637481689453
2018-12-18,19.805673599243164
2018-11-16,20.674856185913086
2019-10-02,22.042110443115234
2020-03-27,22.442522048950195
2020-01-10,21.563573837280273
2019-10-24,22.149539947509766
2020-03-30,22.37415885925293
2020-06-17,22.003047943115234
2020-01-14,21.846790313720703
2020-04-02,21.11433219909668
2019-01-02,21.329185485839844
2019-08-14,22.032344818115234
2018-10-30,21.44637680053711
2019-06-11,20.98737144470215
2019-05-10,21.436614990234375
2019-04-08,22.23743438720703
2018-08-27,22.23743438720703
2018-07-26,22.2081356048584
2018-09-28,21.739362716674805
2019-03-07,21.9835147857666
2019-10-30,21.378015518188477
2020-01-17,21.31941795349121
2020-06-23,20.909244537353516
2020-04-08,21.866321563720703
2020-06-26,21.55380630493164
2019-03-22,22.598779678344727
2019-01-17,22.608545303344727
2019-08-29,22.87223243713379
2018-11-14,22.87223243713379
2019-06-26,23.5192813873291
2018-09-11,23.019289016723633
2018-07-09,23.382030487060547
2018-08-10,23.695749282836914
2019-04-23,24.215351104736328
2019-09-30,24.617305755615234
2020-01-23,24.97024154663086
2019-11-08,25.715330123901367
2020-04-14,26.01924705505371
2019-11-11,25.8427791595459
2020-01-29,25.225139617919922
2020-04-17,25.02906608581543
2018-07-24,25.460430145263672
2018-09-26,25.283964157104492
2019-05-08,25.587879180908203
2019-03-05,25.89179801940918
2019-02-01,25.97022819519043
2018-12-31,25.048669815063477
2018-11-29,25.342784881591797
2019-08-12,24.60750389099121
2019-07-11,24.862401962280273
2019-09-13,25.715330123901367
2019-11-14,25.725133895874023
2020-04-20,25.92120933532715
2020-02-04,25.342784881591797
2020-04-23,24.49966049194336
2018-12-14,23.823198318481445
2019-08-27,23.92123794555664
2018-08-08,23.48006820678711
2018-10-11,22.176164627075195
2018-11-12,22.274200439453125
2019-07-26,21.754600524902344
2019-06-24,22.04871368408203
2019-05-23,21.293821334838867
2019-03-20,20.76441764831543
2019-01-15,21.431076049804688
2019-11-20,22.95066261291504
2020-02-07,22.67615509033203
2020-02-10,22.519296646118164
2020-04-29,22.097732543945312
2019-11-26,22.254594802856445
2020-02-13,22.803606033325195
2019-01-30,22.84282112121582
2018-08-23,22.37224006652832
2018-09-24,21.725189208984375
2018-11-27,22.274200439453125
2018-10-26,21.71538543701172
2019-07-09,20.55853843688965
2019-06-07,18.803661346435547
2019-05-06,17.43113136291504
