Dates,XLNX
2019-07-24,77.47793579101562
2019-09-26,74.08292388916016
2019-10-28,75.12830352783203
2019-12-05,71.54413604736328
2020-05-11,71.68351745605469
2019-07-03,76.57193756103516
2020-02-25,74.69023895263672
2020-05-14,79.92711639404297
2020-02-28,74.88936614990234
2019-08-08,79.00120544433594
2019-06-05,77.597412109375
2018-07-20,76.3529052734375
2018-08-21,78.80208587646484
2018-10-24,78.7323989868164
2019-04-02,84.27791595458984
2019-03-01,83.58098602294922
2019-01-28,84.12857055664062
2018-12-27,82.74468231201172
2019-09-09,82.93384552001953
2020-03-02,85.54232788085938
2020-05-20,83.79006958007812
2019-12-17,89.21611022949219
2020-03-05,88.6087875366211
2019-02-12,88.68843841552734
2019-01-11,85.9405746459961
2018-12-10,90.2017593383789
2019-08-23,86.74700927734375
2018-11-08,89.34553527832031
2019-07-22,88.41962432861328
2019-06-20,85.51245880126953
2018-09-05,91.29692077636719
2019-04-17,87.01582336425781
2019-09-24,82.62520599365234
2019-12-20,82.87410736083984
2020-05-26,83.13296508789062
2019-04-30,84.86531829833984
2019-12-23,84.05887603759766
2020-03-11,86.47819519042969
2020-05-29,86.06999969482422
2019-12-26,83.9800033569336
2020-06-01,82.06999969482422
2019-05-02,84.48999786376953
2019-02-27,83.2300033569336
2018-11-23,87.16000366210938
2019-08-06,86.80999755859375
2018-07-18,89.5199966430664
2018-09-20,87.23999786376953
2018-10-22,86.58999633789062
2019-07-05,88.33000183105469
2019-06-03,91.04000091552734
2019-10-09,89.1500015258789
2019-10-11,91.94999694824219
2020-03-17,90.8499984741211
2020-06-04,93.0999984741211
2019-10-14,95.38999938964844
2020-03-20,95.68000030517578
2018-11-06,96.19999694824219
2019-06-18,96.54000091552734
2019-05-17,95.83000183105469
2019-04-15,95.30000305175781
2019-03-14,89.73999786376953
2019-01-09,90.69999694824219
2018-08-02,90.62999725341797
2018-10-05,93.4800033569336
2019-08-21,93.5
2019-10-17,93.47000122070312
2020-03-23,95.4800033569336
2020-06-10,94.48999786376953
2019-02-25,95.25
2020-01-07,92.88999938964844
2020-03-26,93.29000091552734
2019-10-23,91.0199966430664
