Dates,HST
2018-12-26,18.950000762939453
2019-08-07,18.899999618530273
2019-06-04,19.18000030517578
2018-09-21,19.229999542236328
2018-07-19,19.239999771118164
2018-08-20,19.479999542236328
2018-10-23,19.600000381469727
2019-05-03,19.8799991607666
2019-04-01,19.8799991607666
2019-02-28,19.360000610351562
2019-11-12,19.06999969482422
2020-01-30,19.010000228881836
2019-11-15,19.209999084472656
2020-04-21,18.829999923706055
2019-04-16,18.989999771118164
2019-03-15,19.280000686645508
2019-02-11,19.34000015258789
2019-01-10,19.18000030517578
2019-08-22,18.969999313354492
2018-11-07,19.18000030517578
2018-08-03,19.1200008392334
2018-09-04,19.139999389648438
2019-06-19,19.260000228881836
2019-09-23,18.8799991607666
2019-11-18,18.579999923706055
2020-02-05,18.399999618530273
2020-04-24,18.110000610351562
2019-03-29,18.049999237060547
2019-11-21,18.100000381469727
2020-04-27,18.209999084472656
2020-02-11,18.1299991607666
2020-04-30,18.34000015258789
2019-05-01,18.479999542236328
2019-02-26,18.579999923706055
2019-01-25,18.43000030517578
2018-12-24,18.540000915527344
2019-09-06,18.309999465942383
2018-07-17,18.540000915527344
2018-09-19,18.649999618530273
2019-08-05,18.469999313354492
2019-10-08,18.649999618530273
2019-12-11,18.170000076293945
2019-11-27,17.8700008392334
2020-02-14,17.799999237060547
2020-05-06,17.81999969482422
2019-01-08,18.010000228881836
2018-12-07,18.219999313354492
2019-08-20,18.170000076293945
2018-11-05,18.239999771118164
2019-07-19,18.459999084472656
2018-10-04,18.40999984741211
2019-06-17,18.34000015258789
2019-05-16,18.079999923706055
2018-08-01,18.34000015258789
2019-03-13,18.15999984741211
2019-12-03,18.200000762939453
2020-02-20,18.1299991607666
2019-12-06,18.299999237060547
2020-05-12,17.899999618530273
2019-12-09,17.799999237060547
2020-02-26,17.670000076293945
2020-05-15,17.469999313354492
2019-03-28,17.850000381469727
2018-09-17,17.850000381469727
2018-08-16,17.719999313354492
2018-10-19,17.610000610351562
2019-04-29,17.5
2019-01-23,17.68000030517578
2019-09-04,17.389999389648438
2018-11-20,17.059999465942383
2019-07-02,17.06999969482422
2019-05-31,16.600000381469727
2019-12-12,16.760000228881836
2020-05-18,16.6200008392334
2019-09-27,16.799999237060547
2020-03-03,16.639999389648438
2020-05-21,16.31999969482422
2019-05-14,16.5
2018-08-31,15.819999694824219
2018-07-30,15.600000381469727
2018-10-02,15.850000381469727
2019-04-12,15.989999771118164
2019-03-11,15.949999809265137
2019-02-07,15.9399995803833
2019-07-17,16.09000015258789
2019-09-19,15.6899995803833
2019-10-21,15.770000457763672
2019-12-18,15.739999771118164
2020-03-06,15.779999732971191
2019-10-03,15.979999542236328
2020-03-09,16.040000915527344
2020-05-27,16.030000686645508
2019-12-24,16.34000015258789
2020-03-12,16.719999313354492
2018-12-20,16.65999984741211
2019-08-01,17.139999389648438
2018-08-14,17.43000030517578
2018-07-13,17.420000076293945
2018-10-17,17.079999923706055
2019-05-29,17.31999969482422
2019-03-26,17.40999984741211
2019-02-22,17.25
2019-10-04,17.299999237060547
2019-11-05,17.270000457763672
2019-12-27,17.239999771118164
2020-06-02,17.219999313354492
2019-12-30,17.100000381469727
2020-03-18,17.059999465942383
2020-06-05,16.899999618530273
2019-07-15,17.110000610351562
2018-12-03,17.290000915527344
2019-06-13,16.979999542236328
2019-01-04,16.59000015258789
2018-08-29,16.649999618530273
2019-02-05,16.6200008392334
2018-11-01,16.799999237060547
2019-08-16,16.450000762939453
2019-04-10,16.43000030517578
2019-09-17,16.510000228881836
2019-10-15,16.65999984741211
2020-01-02,16.309999465942383
2020-06-08,16.40999984741211
2019-10-18,16.350000381469727
2020-03-24,16.420000076293945
2020-06-11,16.440000534057617
2020-01-08,16.799999237060547
2019-04-25,16.780000686645508
2019-07-30,16.850000381469727
2019-02-20,16.790000915527344
2018-07-11,16.68000030517578
2018-09-13,16.700000762939453
2018-10-15,16.610000610351562
2019-06-28,16.65999984741211
2018-12-18,16.389999389648438
2018-11-16,16.760000228881836
2019-10-02,17.1299991607666
2020-03-27,17.40999984741211
2020-01-10,17.43000030517578
2019-10-24,16.950000762939453
2020-03-30,17.170000076293945
2020-06-17,17.040000915527344
2020-01-14,16.790000915527344
2020-04-02,16.850000381469727
2019-01-02,17.059999465942383
2019-08-14,17.139999389648438
2018-10-30,17.219999313354492
2019-06-11,17.190000534057617
2019-05-10,16.850000381469727
