Dates,PNR
2020-02-25,1543200.0
2020-05-14,1722000.0
2020-02-28,1766600.0
2019-08-08,1984600.0
2019-06-05,2499600.0
2018-07-20,1537600.0
2018-08-21,1554900.0
2018-10-24,1305800.0
2019-04-02,1328100.0
2019-03-01,924900.0
2019-01-28,977800.0
2018-12-27,1394200.0
2019-09-09,806100.0
2020-03-02,1355700.0
2020-05-20,2278300.0
2019-12-17,1409000.0
2020-03-05,1153700.0
2019-02-12,1154800.0
2019-01-11,1374000.0
2018-12-10,1344500.0
2019-08-23,1375100.0
2018-11-08,1245700.0
2019-07-22,1009100.0
2019-06-20,1186100.0
2018-09-05,1790800.0
2019-04-17,4632900.0
2019-09-24,925300.0
2019-12-20,1447700.0
2020-05-26,1158400.0
2019-04-30,823000.0
2019-12-23,952500.0
2020-03-11,804000.0
2020-05-29,686900.0
2019-12-26,830200.0
2020-06-01,1268100.0
2019-05-02,1284100.0
2019-02-27,865800.0
2018-11-23,1111800.0
2019-08-06,726300.0
2018-07-18,878100.0
2018-09-20,867500.0
2018-10-22,638400.0
2019-07-05,966900.0
2019-06-03,1710600.0
2019-10-09,1764200.0
2019-10-11,2076100.0
2020-03-17,1025800.0
2020-06-04,1256100.0
2019-10-14,1525800.0
2020-03-20,952100.0
2018-11-06,1126800.0
2019-06-18,1556600.0
2019-05-17,1264500.0
2019-04-15,1254000.0
2019-03-14,974500.0
2019-01-09,925600.0
2018-08-02,968600.0
2018-10-05,1197600.0
2019-08-21,1130500.0
2019-10-17,901200.0
2020-03-23,1855700.0
2020-06-10,980900.0
2019-02-25,1394800.0
2020-01-07,1882100.0
2020-03-26,1674400.0
2019-10-23,2469800.0
