Dates,IRM
2020-06-01,3182500.0
2019-05-02,3332300.0
2019-02-27,1887300.0
2018-11-23,3378900.0
2019-08-06,2123100.0
2018-07-18,2188500.0
2018-09-20,2035900.0
2018-10-22,1510800.0
2019-07-05,3895500.0
2019-06-03,2945700.0
2019-10-09,3004300.0
2019-10-11,4239300.0
2020-03-17,3357300.0
2020-06-04,2994700.0
2019-10-14,4399400.0
2020-03-20,3899200.0
2018-11-06,4943000.0
2019-06-18,3163000.0
2019-05-17,3192900.0
2019-04-15,2677100.0
2019-03-14,7172800.0
2019-01-09,3007900.0
2018-08-02,2538300.0
2018-10-05,2755800.0
2019-08-21,1927700.0
2019-10-17,4800400.0
2020-03-23,10127200.0
2020-06-10,5640100.0
2019-02-25,4169600.0
2020-01-07,7761300.0
2020-03-26,4669400.0
2019-10-23,9111100.0
