Dates,UNP
2019-09-10,160.05999755859375
2020-01-15,160.60000610351562
2020-04-03,160.25999450683594
2019-10-31,161.5
2020-04-06,163.75999450683594
2020-06-24,165.80999755859375
2018-11-09,168.52999877929688
2019-07-23,169.1300048828125
2019-06-21,168.94000244140625
2019-05-20,168.30999755859375
2019-04-18,168.50999450683594
2018-09-06,167.3800048828125
2018-10-08,165.77000427246094
2019-02-13,164.97000122070312
2018-12-11,165.25999450683594
2019-09-25,167.0
2020-01-21,167.00999450683594
2020-04-09,166.94000244140625
2019-11-06,168.6699981689453
2020-01-24,174.60000610351562
2020-01-27,176.1199951171875
2020-04-15,175.33999633789062
2018-12-26,176.72999572753906
2019-08-07,174.13999938964844
2019-06-04,175.1300048828125
2018-09-21,176.32000732421875
2018-07-19,174.86000061035156
2018-08-20,175.0500030517578
2018-10-23,173.80999755859375
2019-05-03,177.5399932861328
2019-04-01,175.67999267578125
2019-02-28,172.3300018310547
2019-11-12,174.5399932861328
2020-01-30,172.7100067138672
2019-11-15,171.80999755859375
2020-04-21,170.1300048828125
2019-04-16,172.4499969482422
2019-03-15,172.3800048828125
2019-02-11,173.8699951171875
2019-01-10,173.2899932861328
2019-08-22,173.19000244140625
2018-11-07,174.4600067138672
2018-08-03,173.02000427246094
2018-09-04,169.77000427246094
2019-06-19,170.97000122070312
2019-09-23,169.74000549316406
2019-11-18,168.1300048828125
2020-02-05,167.99000549316406
2020-04-24,164.38999938964844
2019-03-29,165.5800018310547
2019-11-21,167.0399932861328
2020-04-27,170.7100067138672
2020-02-11,169.6300048828125
2020-04-30,170.52999877929688
2019-05-01,172.07000732421875
2019-02-26,168.92999267578125
2019-01-25,169.63999938964844
2018-12-24,166.38999938964844
2019-09-06,164.82000732421875
2018-07-17,164.16000366210938
2018-09-19,165.16000366210938
2019-08-05,163.5
2019-10-08,166.64999389648438
2019-12-11,167.0
2019-11-27,166.89999389648438
2020-02-14,163.9499969482422
2020-05-06,165.50999450683594
2019-01-08,166.0
2018-12-07,166.5399932861328
2019-08-20,170.7899932861328
2018-11-05,169.77000427246094
2019-07-19,170.52999877929688
2018-10-04,166.92999267578125
2019-06-17,168.6300048828125
2019-05-16,168.5500030517578
2018-08-01,168.88999938964844
2019-03-13,169.1199951171875
2019-12-03,172.1199951171875
2020-02-20,172.42999267578125
2019-12-06,173.00999450683594
2020-05-12,163.8000030517578
2019-12-09,170.5
2020-02-26,174.0500030517578
2020-05-15,172.38999938964844
2019-03-28,171.4499969482422
2018-09-17,171.13999938964844
2018-08-16,172.86000061035156
2018-10-19,173.35000610351562
2019-04-29,173.97999572753906
2019-01-23,176.5500030517578
2019-09-04,177.3000030517578
2018-11-20,174.57000732421875
2019-07-02,172.10000610351562
2019-05-31,165.50999450683594
2019-12-12,166.3699951171875
2020-05-18,163.8000030517578
2019-09-27,167.1699981689453
2020-03-03,165.9600067138672
2020-05-21,165.33999633789062
2019-05-14,164.27000427246094
2018-08-31,163.05999755859375
2018-07-30,160.63999938964844
2018-10-02,163.4499969482422
2019-04-12,168.25999450683594
2019-03-11,167.4600067138672
2019-02-07,167.7899932861328
2019-07-17,165.9499969482422
2019-09-19,159.0500030517578
2019-10-21,158.2899932861328
2019-12-18,157.27999877929688
2020-03-06,156.61000061035156
2019-10-03,158.2100067138672
2020-03-09,161.4600067138672
2020-05-27,158.6999969482422
2019-12-24,158.6199951171875
2020-03-12,162.10000610351562
2018-12-20,164.13999938964844
2019-08-01,164.00999450683594
2018-08-14,164.85000610351562
2018-07-13,165.72000122070312
2018-10-17,166.14999389648438
2019-05-29,169.02000427246094
2019-03-26,167.0
2019-02-22,166.33999633789062
2019-10-04,165.05999755859375
2019-11-05,166.5
2019-12-27,165.61000061035156
2020-06-02,165.33999633789062
2019-12-30,164.08999633789062
2020-03-18,163.5500030517578
2020-06-05,163.60000610351562
2019-07-15,161.86000061035156
2018-12-03,161.86000061035156
2019-06-13,155.50999450683594
2019-01-04,150.33999633789062
2018-08-29,149.08999633789062
2019-02-05,153.44000244140625
2018-11-01,154.8699951171875
2019-08-16,151.27999877929688
2019-04-10,152.47999572753906
2019-09-17,152.55999755859375
2019-10-15,157.39999389648438
2020-01-02,158.86000061035156
2020-06-08,159.5
2019-10-18,162.5
2020-03-24,159.61000061035156
2020-06-11,159.86000061035156
2020-01-08,161.75
2019-04-25,165.74000549316406
2019-07-30,168.3800048828125
2019-02-20,169.77999877929688
2018-07-11,169.39999389648438
2018-09-13,170.57000732421875
2018-10-15,169.10000610351562
2019-06-28,166.36000061035156
2018-12-18,163.6300048828125
2018-11-16,166.69000244140625
2019-10-02,173.1300048828125
2020-03-27,176.4499969482422
2020-01-10,175.27999877929688
2019-10-24,176.6699981689453
2020-03-30,175.14999389648438
2020-06-17,174.42999267578125
2020-01-14,174.91000366210938
2020-04-02,173.66000366210938
2019-01-02,174.08999633789062
2019-08-14,174.77000427246094
2018-10-30,174.57000732421875
2019-06-11,175.44000244140625
2019-05-10,173.77999877929688
2019-04-08,172.3000030517578
2018-08-27,173.8000030517578
2018-07-26,175.6699981689453
2018-09-28,178.05999755859375
2019-03-07,175.92999267578125
2019-10-30,175.44000244140625
2020-01-17,172.7899932861328
2020-06-23,167.14999389648438
2020-04-08,168.9499969482422
2020-06-26,169.36000061035156
2019-03-22,171.7899932861328
2019-01-17,170.52000427246094
2019-08-29,170.1300048828125
2018-11-14,172.00999450683594
2019-06-26,173.1699981689453
2018-09-11,174.16000366210938
2018-07-09,178.02000427246094
2018-08-10,177.07000732421875
2019-04-23,176.5399932861328
2019-09-30,177.02999877929688
2020-01-23,176.72000122070312
2019-11-08,179.0
2020-04-14,179.36000061035156
2019-11-11,179.5
2020-01-29,180.66000366210938
2020-04-17,179.60000610351562
2018-07-24,179.5399932861328
2018-09-26,179.97000122070312
2019-05-08,178.2899932861328
2019-03-05,177.94000244140625
2019-02-01,177.61000061035156
2018-12-31,177.47999572753906
2018-11-29,178.57000732421875
2019-08-12,177.82000732421875
2019-07-11,177.63999938964844
2019-09-13,180.14999389648438
2019-11-14,180.6300048828125
2020-04-20,180.91000366210938
2020-02-04,183.0
2020-04-23,181.1199951171875
2018-12-14,180.44000244140625
2019-08-27,180.92999267578125
2018-08-08,184.52999877929688
2018-10-11,178.3000030517578
2018-11-12,179.4499969482422
2019-07-26,180.44000244140625
2019-06-24,179.00999450683594
2019-05-23,178.5
2019-03-20,179.39999389648438
2019-01-15,182.6999969482422
2019-11-20,184.3699951171875
2020-02-07,184.83999633789062
2020-02-10,183.22999572753906
2020-04-29,181.5800018310547
2019-11-26,183.10000610351562
2020-02-13,183.69000244140625
2019-01-30,183.30999755859375
2018-08-23,182.64999389648438
2018-09-24,181.66000366210938
2018-11-27,182.67999267578125
2018-10-26,181.66000366210938
2019-07-09,180.77999877929688
2019-06-07,174.39999389648438
