Dates,ROK
2019-05-01,160.5
2019-02-26,161.42999267578125
2019-01-25,159.50999450683594
2018-12-24,159.33999633789062
2019-09-06,158.91000366210938
2018-07-17,157.97000122070312
2018-09-19,160.58999633789062
2019-08-05,159.67999267578125
2019-10-08,163.9499969482422
2019-12-11,164.07000732421875
2019-11-27,163.8000030517578
2020-02-14,163.3300018310547
2020-05-06,163.08999633789062
2019-01-08,164.14999389648438
2018-12-07,164.6199951171875
2019-08-20,166.8699951171875
2018-11-05,164.52000427246094
2019-07-19,164.05999755859375
2018-10-04,162.58999633789062
2019-06-17,160.60000610351562
2019-05-16,157.27999877929688
2018-08-01,156.63999938964844
2019-03-13,156.32000732421875
2019-12-03,161.02999877929688
2020-02-20,161.02999877929688
2019-12-06,165.4600067138672
2020-05-12,162.42999267578125
2019-12-09,160.22000122070312
2020-02-26,161.66000366210938
2020-05-15,161.80999755859375
2019-03-28,167.0500030517578
2018-09-17,169.77000427246094
2018-08-16,169.0500030517578
2018-10-19,167.4499969482422
2019-04-29,165.3000030517578
2019-01-23,165.75
2019-09-04,165.3300018310547
2018-11-20,162.8300018310547
2019-07-02,155.47000122070312
2019-05-31,152.25999450683594
2019-12-12,153.3300018310547
2020-05-18,152.05999755859375
2019-09-27,156.63999938964844
2020-03-03,154.99000549316406
2020-05-21,153.00999450683594
2019-05-14,155.9199981689453
2018-08-31,150.52000427246094
2018-07-30,147.33999633789062
2018-10-02,150.66000366210938
2019-04-12,153.5399932861328
2019-03-11,152.99000549316406
2019-02-07,153.36000061035156
2019-07-17,153.42999267578125
2019-09-19,152.07000732421875
2019-10-21,150.30999755859375
2019-12-18,146.75
2020-03-06,148.27999877929688
2019-10-03,151.7899932861328
2020-03-09,153.6999969482422
2020-05-27,151.0
2019-12-24,150.64999389648438
2020-03-12,160.11000061035156
2018-12-20,161.6999969482422
2019-08-01,163.4199981689453
2018-08-14,163.8699951171875
2018-07-13,163.8699951171875
2018-10-17,167.74000549316406
2019-05-29,170.10000610351562
2019-03-26,167.14999389648438
2019-02-22,164.7899932861328
2019-10-04,164.5
2019-11-05,165.1199951171875
2019-12-27,165.02000427246094
2020-06-02,164.7899932861328
2019-12-30,164.67999267578125
2020-03-18,163.02999877929688
2020-06-05,164.91000366210938
2019-07-15,166.49000549316406
2018-12-03,165.1999969482422
2019-06-13,167.94000244140625
2019-01-04,160.58999633789062
2018-08-29,158.47999572753906
2019-02-05,159.42999267578125
2018-11-01,159.38999938964844
2019-08-16,155.2899932861328
2019-04-10,154.99000549316406
2019-09-17,156.55999755859375
2019-10-15,166.25999450683594
2020-01-02,164.69000244140625
2020-06-08,168.3000030517578
2019-10-18,167.82000732421875
2020-03-24,169.08999633789062
2020-06-11,169.75999450683594
2020-01-08,171.74000549316406
2019-04-25,173.52000427246094
2019-07-30,173.99000549316406
2019-02-20,174.4499969482422
2018-07-11,177.82000732421875
2018-09-13,179.32000732421875
2018-10-15,177.58999633789062
2019-06-28,175.22000122070312
2018-12-18,175.1999969482422
2018-11-16,177.6999969482422
2019-10-02,181.92999267578125
2020-03-27,183.36000061035156
2020-01-10,181.4600067138672
2019-10-24,180.83999633789062
2020-03-30,178.14999389648438
2020-06-17,181.0
2020-01-14,207.11000061035156
2020-04-02,201.2100067138672
2019-01-02,199.89999389648438
2019-08-14,200.8800048828125
2018-10-30,200.0
2019-06-11,198.5399932861328
2019-05-10,197.75999450683594
2019-04-08,196.66000366210938
2018-08-27,196.5399932861328
2018-07-26,197.4199981689453
2018-09-28,196.47999572753906
2019-03-07,197.67999267578125
2019-10-30,197.3000030517578
2020-01-17,198.6199951171875
2020-06-23,194.8300018310547
2020-04-08,197.55999755859375
2020-06-26,196.64999389648438
2019-03-22,199.7100067138672
2019-01-17,200.30999755859375
2019-08-29,200.72999572753906
2018-11-14,203.57000732421875
2019-06-26,205.69000244140625
2018-09-11,206.9499969482422
2018-07-09,205.99000549316406
2018-08-10,204.86000061035156
2019-04-23,204.8300018310547
2019-09-30,204.14999389648438
2020-01-23,204.4600067138672
2019-11-08,204.52000427246094
2020-04-14,204.66000366210938
2019-11-11,204.22000122070312
2020-01-29,204.72000122070312
2020-04-17,204.27999877929688
2018-07-24,204.1199951171875
2018-09-26,205.63999938964844
2019-05-08,203.22999572753906
2019-03-05,204.32000732421875
2019-02-01,205.27000427246094
2018-12-31,206.8000030517578
2018-11-29,207.94000244140625
