Dates,ADI
2018-12-26,118.54000091552734
2019-08-07,116.4000015258789
2019-06-04,114.58999633789062
2018-09-21,114.79000091552734
2018-07-19,116.83000183105469
2018-08-20,116.95999908447266
2018-10-23,117.41999816894531
2019-05-03,117.95999908447266
2019-04-01,115.38999938964844
2019-02-28,114.29000091552734
2019-11-12,112.97000122070312
2020-01-30,111.08999633789062
2019-11-15,111.1500015258789
2020-04-21,107.68000030517578
2019-04-16,107.20999908447266
2019-03-15,108.83000183105469
2019-02-11,106.18000030517578
2019-01-10,103.86000061035156
2019-08-22,99.23999786376953
2018-11-07,101.75
2018-08-03,103.0999984741211
2018-09-04,100.55999755859375
2019-06-19,100.41999816894531
2019-09-23,99.13999938964844
2019-11-18,98.83000183105469
2020-02-05,99.56999969482422
2020-04-24,98.58999633789062
2019-03-29,98.31999969482422
2019-11-21,101.08000183105469
2020-04-27,102.43000030517578
2020-02-11,100.30999755859375
2020-04-30,100.98999786376953
2019-05-01,107.52999877929688
2019-02-26,108.55999755859375
2019-01-25,104.88999938964844
2018-12-24,105.87000274658203
2019-09-06,104.41000366210938
2018-07-17,105.77999877929688
2018-09-19,110.58999633789062
2019-08-05,111.52999877929688
2019-10-08,113.94000244140625
2019-12-11,114.36000061035156
2019-11-27,114.31999969482422
2020-02-14,113.54000091552734
2020-05-06,112.73999786376953
2019-01-08,113.72000122070312
2018-12-07,114.41999816894531
2019-08-20,118.13999938964844
2018-11-05,114.5
2019-07-19,113.66999816894531
2018-10-04,112.9800033569336
2019-06-17,112.62000274658203
2019-05-16,113.91999816894531
2018-08-01,115.7300033569336
2019-03-13,114.2699966430664
2019-12-03,116.26000213623047
2020-02-20,117.69000244140625
2019-12-06,116.08999633789062
2020-05-12,116.01000213623047
2019-12-09,116.25
2020-02-26,117.06999969482422
2020-05-15,118.08000183105469
2019-03-28,119.93000030517578
2018-09-17,124.79000091552734
2018-08-16,124.0999984741211
2018-10-19,123.04000091552734
2019-04-29,122.5
2019-01-23,121.37999725341797
2019-09-04,120.97000122070312
2018-11-20,120.1500015258789
2019-07-02,114.94000244140625
2019-05-31,109.8499984741211
2019-12-12,110.38999938964844
2020-05-18,110.26000213623047
2019-09-27,112.45999908447266
2020-03-03,111.8499984741211
2020-05-21,110.62000274658203
2019-05-14,113.58000183105469
2018-08-31,111.70999908447266
2018-07-30,110.94999694824219
2018-10-02,111.25
2019-04-12,113.72000122070312
2019-03-11,111.45999908447266
2019-02-07,111.69999694824219
2019-07-17,109.4000015258789
2019-09-19,107.51000213623047
2019-10-21,106.08999633789062
2019-12-18,107.79000091552734
2020-03-06,108.05999755859375
2019-10-03,110.37000274658203
2020-03-09,110.95999908447266
2020-05-27,108.94999694824219
2019-12-24,109.2300033569336
2020-03-12,113.9000015258789
2018-12-20,113.55000305175781
2019-08-01,113.7699966430664
2018-08-14,113.9800033569336
2018-07-13,116.37999725341797
2018-10-17,118.45999908447266
2019-05-29,116.98999786376953
2019-03-26,115.80999755859375
2019-02-22,115.87000274658203
2019-10-04,116.62000274658203
2019-11-05,116.83999633789062
2019-12-27,116.62000274658203
2020-06-02,115.13999938964844
2019-12-30,115.05999755859375
2020-03-18,113.05999755859375
2020-06-05,113.44000244140625
2019-07-15,113.86000061035156
2018-12-03,112.23999786376953
2019-06-13,116.19000244140625
2019-01-04,109.80999755859375
2018-08-29,111.30000305175781
2019-02-05,113.22000122070312
2018-11-01,113.29000091552734
2019-08-16,110.36000061035156
2019-04-10,108.87000274658203
2019-09-17,109.7699966430664
2019-10-15,112.72000122070312
2020-01-02,111.0
2020-06-08,113.41000366210938
2019-10-18,113.25
2020-03-24,112.26000213623047
2020-06-11,110.43000030517578
2020-01-08,111.4800033569336
2019-04-25,112.23999786376953
2019-07-30,107.75
2019-02-20,106.68000030517578
2018-07-11,107.02999877929688
2018-09-13,109.08000183105469
2018-10-15,110.12000274658203
2019-06-28,110.98999786376953
2018-12-18,107.69999694824219
2018-11-16,109.91999816894531
2019-10-02,112.26000213623047
2020-03-27,114.43000030517578
2020-01-10,113.22000122070312
2019-10-24,113.81999969482422
2020-03-30,113.04000091552734
2020-06-17,112.73999786376953
2020-01-14,114.01000213623047
2020-04-02,114.38999938964844
2019-01-02,113.69999694824219
2019-08-14,114.94999694824219
2018-10-30,113.02999877929688
2019-06-11,113.02999877929688
2019-05-10,110.83000183105469
2019-04-08,109.23999786376953
2018-08-27,111.08000183105469
2018-07-26,113.47000122070312
2018-09-28,115.44999694824219
2019-03-07,116.30999755859375
2019-10-30,114.38999938964844
2020-01-17,113.36000061035156
2020-06-23,110.43000030517578
2020-04-08,114.51000213623047
2020-06-26,115.2300033569336
2019-03-22,116.0999984741211
2019-01-17,115.77999877929688
2019-08-29,115.44000244140625
2018-11-14,116.48999786376953
2019-06-26,118.66000366210938
2018-09-11,119.47000122070312
2018-07-09,120.5
2018-08-10,119.41000366210938
2019-04-23,119.52999877929688
2019-09-30,118.81999969482422
2020-01-23,120.22000122070312
2019-11-08,120.55000305175781
2020-04-14,119.87999725341797
2019-11-11,120.12999725341797
2020-01-29,120.0
2020-04-17,119.44999694824219
2018-07-24,119.13999938964844
2018-09-26,120.6500015258789
2019-05-08,119.66999816894531
2019-03-05,117.31999969482422
2019-02-01,120.87999725341797
2018-12-31,121.45999908447266
2018-11-29,121.69000244140625
2019-08-12,120.80999755859375
2019-07-11,119.63999938964844
2019-09-13,120.58999633789062
2019-11-14,119.41000366210938
2020-04-20,119.22000122070312
2020-02-04,119.91999816894531
2020-04-23,119.66999816894531
2018-12-14,121.05000305175781
2019-08-27,121.06999969482422
2018-08-08,122.19999694824219
2018-10-11,114.9800033569336
2018-11-12,114.58999633789062
2019-07-26,114.47000122070312
2019-06-24,113.5
2019-05-23,111.72000122070312
2019-03-20,111.61000061035156
2019-01-15,113.37999725341797
