Dates,BIIB
2018-10-23,234.49000549316406
2019-05-03,234.11000061035156
2019-04-01,236.67999267578125
2019-02-28,238.1699981689453
2019-11-12,232.52999877929688
2020-01-30,229.52000427246094
2019-11-15,228.5
2020-04-21,226.91000366210938
2019-04-16,230.4499969482422
2019-03-15,232.07000732421875
2019-02-11,232.8300018310547
2019-01-10,232.0
2019-08-22,232.00999450683594
2018-11-07,234.49000549316406
2018-08-03,236.88999938964844
2018-09-04,233.22000122070312
2019-06-19,230.52000427246094
2019-09-23,230.13999938964844
2019-11-18,224.49000549316406
2020-02-05,224.97000122070312
2020-04-24,223.30999755859375
2019-03-29,226.5800018310547
2019-11-21,229.25
2020-04-27,227.57000732421875
2020-02-11,228.1699981689453
2020-04-30,228.8699951171875
2019-05-01,230.58999633789062
2019-02-26,232.80999755859375
2019-01-25,231.60000610351562
2018-12-24,233.8300018310547
2019-09-06,231.4199981689453
2018-07-17,232.9600067138672
2018-09-19,237.75
2019-08-05,234.4199981689453
2019-10-08,237.0
2019-12-11,239.13999938964844
2019-11-27,241.30999755859375
2020-02-14,245.35000610351562
2020-05-06,242.67999267578125
2019-01-08,241.13999938964844
2018-12-07,237.2899932861328
2019-08-20,238.02999877929688
2018-11-05,236.47999572753906
2019-07-19,238.74000549316406
2018-10-04,238.91000366210938
2019-06-17,234.25
2019-05-16,234.36000061035156
2018-08-01,235.97999572753906
2019-03-13,232.13999938964844
2019-12-03,233.4499969482422
2020-02-20,234.35000610351562
2019-12-06,235.0399932861328
2020-05-12,231.99000549316406
2019-12-09,232.33999633789062
2020-02-26,234.1300048828125
2020-05-15,235.24000549316406
2019-03-28,246.99000549316406
2018-09-17,245.92999267578125
2018-08-16,241.5500030517578
2018-10-19,238.4499969482422
2019-04-29,239.3000030517578
2019-01-23,242.63999938964844
2019-09-04,241.4199981689453
2018-11-20,245.3000030517578
2019-07-02,242.97999572753906
2019-05-31,240.99000549316406
2019-12-12,240.99000549316406
2020-05-18,239.14999389648438
2019-09-27,239.9199981689453
2020-03-03,238.0
2020-05-21,235.52999877929688
2019-05-14,234.75999450683594
2018-08-31,230.57000732421875
2018-07-30,228.66000366210938
2018-10-02,232.8699951171875
2019-04-12,236.63999938964844
2019-03-11,235.5500030517578
2019-02-07,233.77999877929688
2019-07-17,233.60000610351562
2019-09-19,231.8699951171875
2019-10-21,227.99000549316406
2019-12-18,225.63999938964844
2020-03-06,223.47999572753906
2019-10-03,223.75
2020-03-09,221.67999267578125
2020-05-27,219.88999938964844
2019-12-24,219.38999938964844
2020-03-12,225.42999267578125
2018-12-20,227.27000427246094
2019-08-01,231.05999755859375
2018-08-14,234.8000030517578
2018-07-13,238.74000549316406
2018-10-17,236.30999755859375
2019-05-29,237.97999572753906
2019-03-26,240.5
2019-02-22,239.5
2019-10-04,239.52000427246094
2019-11-05,238.4199981689453
2019-12-27,242.2100067138672
2020-06-02,242.7100067138672
2019-12-30,241.47000122070312
2020-03-18,239.19000244140625
2020-06-05,236.86000061035156
2019-07-15,233.24000549316406
2018-12-03,235.25
2019-06-13,234.0399932861328
2019-01-04,228.35000610351562
2018-08-29,223.47999572753906
2019-02-05,225.5
2018-11-01,229.75999450683594
2019-08-16,226.10000610351562
2019-04-10,224.14999389648438
2019-09-17,224.2100067138672
2019-10-15,227.5
2020-01-02,226.3800048828125
2020-06-08,228.3300018310547
2019-10-18,229.75
2020-03-24,228.97000122070312
2020-06-11,225.49000549316406
2020-01-08,225.77999877929688
2019-04-25,318.0
2019-07-30,286.6700134277344
2019-02-20,287.0400085449219
2018-07-11,290.17999267578125
2018-09-13,295.9700012207031
2018-10-15,299.8900146484375
2019-06-28,306.9200134277344
2018-12-18,301.5799865722656
2018-11-16,303.7900085449219
2019-10-02,302.55999755859375
2020-03-27,295.0899963378906
2020-01-10,293.0
2019-10-24,290.55999755859375
2020-03-30,293.3900146484375
2020-06-17,294.9200134277344
2020-01-14,296.25
2020-04-02,290.25
2019-01-02,282.8399963378906
2019-08-14,283.95001220703125
2018-10-30,283.5
2019-06-11,290.69000244140625
2019-05-10,289.1000061035156
2019-04-08,289.17999267578125
2018-08-27,301.8599853515625
2018-07-26,307.010009765625
2018-09-28,307.3500061035156
2019-03-07,304.0
2019-10-30,305.17999267578125
2020-01-17,296.6000061035156
2020-06-23,294.6499938964844
2020-04-08,293.1400146484375
2020-06-26,309.05999755859375
2019-03-22,304.55999755859375
2019-01-17,304.32000732421875
2019-08-29,300.260009765625
2018-11-14,299.2900085449219
2019-06-26,296.1700134277344
2018-09-11,304.0
2018-07-09,301.739990234375
2018-08-10,301.92999267578125
2019-04-23,300.8299865722656
2019-09-30,298.7699890136719
2020-01-23,301.8500061035156
2019-11-08,305.7200012207031
2020-04-14,304.6499938964844
2019-11-11,306.94000244140625
2020-01-29,303.04998779296875
2020-04-17,301.57000732421875
2018-07-24,297.3599853515625
2018-09-26,299.0799865722656
2019-05-08,292.67999267578125
2019-03-05,291.19000244140625
2019-02-01,291.8399963378906
2018-12-31,294.19000244140625
2018-11-29,296.57000732421875
2019-08-12,298.739990234375
2019-07-11,295.5
2019-09-13,306.3500061035156
2019-11-14,300.3699951171875
