Dates,VRSN
2018-07-24,460400.0
2018-09-26,369400.0
2019-05-08,912100.0
2019-03-05,615700.0
2019-02-01,418600.0
2018-12-31,705200.0
2018-11-29,760800.0
2019-08-12,656800.0
2019-07-11,431000.0
2019-09-13,656200.0
2019-11-14,349700.0
2020-04-20,365900.0
2020-02-04,510500.0
2020-04-23,613200.0
2018-12-14,510500.0
2019-08-27,298700.0
2018-08-08,409200.0
2018-10-11,373600.0
2018-11-12,407500.0
2019-07-26,431000.0
2019-06-24,349900.0
2019-05-23,642700.0
2019-03-20,360100.0
2019-01-15,472000.0
2019-11-20,556400.0
2020-02-07,549800.0
2020-02-10,1154700.0
2020-04-29,670300.0
2019-11-26,801600.0
2020-02-13,567700.0
2019-01-30,529500.0
2018-08-23,526500.0
2018-09-24,360800.0
2018-11-27,578200.0
2018-10-26,878200.0
2019-07-09,623500.0
2019-06-07,783500.0
2019-05-06,738100.0
2019-04-04,960100.0
2019-09-11,937100.0
2019-11-29,1284100.0
2020-05-05,901700.0
2019-12-02,966100.0
2020-02-19,793700.0
2020-05-08,732900.0
2019-05-21,959700.0
2019-03-18,1023600.0
2018-09-07,1401000.0
2018-08-06,732500.0
2018-10-09,997800.0
2019-02-14,1016500.0
2018-12-12,1066900.0
2019-07-24,1163200.0
2019-09-26,904700.0
2019-10-28,872100.0
2019-12-05,1425300.0
2020-05-11,1210000.0
2019-07-03,1563500.0
2020-02-25,825300.0
2020-05-14,900900.0
2020-02-28,795500.0
2019-08-08,1031300.0
2019-06-05,1121800.0
2018-07-20,920600.0
2018-08-21,671300.0
2018-10-24,666800.0
2019-04-02,1266900.0
2019-03-01,807400.0
2019-01-28,574600.0
2018-12-27,720500.0
2019-09-09,716300.0
2020-03-02,607200.0
2020-05-20,499200.0
2019-12-17,1330400.0
2020-03-05,633200.0
2019-02-12,701100.0
2019-01-11,635400.0
2018-12-10,604500.0
2019-08-23,946700.0
2018-11-08,911400.0
2019-07-22,593200.0
2019-06-20,898500.0
2018-09-05,1140500.0
2019-04-17,768800.0
2019-09-24,630200.0
2019-12-20,485500.0
2020-05-26,477200.0
2019-04-30,421100.0
2019-12-23,447700.0
2020-03-11,392400.0
2020-05-29,465100.0
2019-12-26,467300.0
2020-06-01,833200.0
2019-05-02,752700.0
2019-02-27,707900.0
2018-11-23,880500.0
2019-08-06,589700.0
2018-07-18,577500.0
2018-09-20,518900.0
2018-10-22,433400.0
2019-07-05,630300.0
2019-06-03,637500.0
2019-10-09,447400.0
2019-10-11,1089200.0
2020-03-17,808500.0
2020-06-04,725300.0
2019-10-14,435300.0
2020-03-20,792500.0
2018-11-06,723200.0
2019-06-18,678400.0
2019-05-17,699000.0
2019-04-15,797500.0
2019-03-14,725700.0
2019-01-09,576500.0
2018-08-02,502800.0
2018-10-05,396800.0
2019-08-21,580800.0
2019-10-17,422200.0
2020-03-23,1392500.0
2020-06-10,661800.0
2019-02-25,728100.0
2020-01-07,559200.0
2020-03-26,504900.0
2019-10-23,889500.0
