Dates,UAA
2019-10-11,15492000.0
2020-03-17,7321900.0
2020-06-04,8628400.0
2019-10-14,11609700.0
2020-03-20,10675100.0
2018-11-06,13743100.0
2019-06-18,10108200.0
2019-05-17,9992800.0
2019-04-15,8694700.0
2019-03-14,9573400.0
2019-01-09,6860600.0
2018-08-02,8179600.0
2018-10-05,8834600.0
2019-08-21,6994600.0
2019-10-17,5859100.0
2020-03-23,8741600.0
2020-06-10,5579900.0
2019-02-25,6042300.0
2020-01-07,6957800.0
2020-03-26,6014800.0
2019-10-23,13563100.0
