Dates,MRK
2020-01-06,80.5199966430664
2020-03-25,80.54000091552734
2020-06-12,80.52999877929688
2019-10-22,81.76000213623047
2020-01-09,82.02999877929688
2020-06-15,81.4800033569336
2019-10-25,81.5999984741211
2020-03-31,81.02999877929688
2020-06-18,80.20999908447266
2019-04-03,80.36000061035156
2018-08-22,81.16999816894531
2018-10-25,81.61000061035156
2019-01-29,81.30999755859375
2018-12-28,81.5
2018-11-26,81.2699966430664
2019-08-09,81.54000091552734
2019-07-08,81.8499984741211
2019-06-06,82.0999984741211
2019-09-10,82.91000366210938
2020-01-15,82.06999969482422
2020-04-03,82.76000213623047
2019-10-31,82.91999816894531
2020-04-06,82.79000091552734
2020-06-24,83.0
2018-11-09,83.7300033569336
2019-07-23,83.45999908447266
2019-06-21,83.2699966430664
2019-05-20,83.01000213623047
2019-04-18,81.97000122070312
2018-09-06,80.95999908447266
2018-10-08,80.56999969482422
2019-02-13,80.86000061035156
2018-12-11,80.93000030517578
2019-09-25,80.01000213623047
2020-01-21,79.30999755859375
2020-04-09,79.2300033569336
2019-11-06,77.61000061035156
2020-01-24,73.4800033569336
2020-01-27,73.16000366210938
2020-04-15,73.69999694824219
2018-12-26,74.7300033569336
2019-08-07,74.58000183105469
2019-06-04,76.63999938964844
2018-09-21,76.58999633789062
2018-07-19,77.55999755859375
2018-08-20,78.69000244140625
2018-10-23,78.61000061035156
2019-05-03,79.54000091552734
2019-04-01,78.52999877929688
2019-02-28,78.88999938964844
2019-11-12,78.33000183105469
2020-01-30,77.68000030517578
2019-11-15,78.08000183105469
2020-04-21,76.81999969482422
2019-04-16,77.62000274658203
2019-03-15,76.87000274658203
2019-02-11,77.7699966430664
2019-01-10,78.41000366210938
2019-08-22,78.36000061035156
2018-11-07,79.08000183105469
2018-08-03,79.3499984741211
2018-09-04,80.5999984741211
2019-06-19,81.30000305175781
2019-09-23,81.37999725341797
2019-11-18,80.12000274658203
2020-02-05,79.55999755859375
2020-04-24,79.33000183105469
2019-03-29,79.6500015258789
2019-11-21,80.75
2020-04-27,81.37999725341797
2020-02-11,82.16000366210938
2020-04-30,81.81999969482422
2019-05-01,82.68000030517578
2019-02-26,82.88999938964844
2019-01-25,83.13999938964844
2018-12-24,84.05999755859375
2019-09-06,82.70999908447266
2018-07-17,82.69999694824219
2018-09-19,83.2300033569336
2019-08-05,84.25
2019-10-08,85.9800033569336
2019-12-11,84.44000244140625
2019-11-27,84.97000122070312
2020-02-14,85.55000305175781
2020-05-06,85.18000030517578
2019-01-08,83.66999816894531
2018-12-07,83.97000122070312
2019-08-20,84.33000183105469
2018-11-05,84.45999908447266
2019-07-19,86.05999755859375
2018-10-04,86.68000030517578
2019-06-17,85.01000213623047
2019-05-16,84.23999786376953
2018-08-01,84.80000305175781
2019-03-13,83.5
2019-12-03,80.8499984741211
2020-02-20,80.5999984741211
2019-12-06,81.31999969482422
2020-05-12,81.95999908447266
2019-12-09,82.41000366210938
2020-02-26,82.69999694824219
2020-05-15,81.68000030517578
2019-03-28,81.4800033569336
2018-09-17,82.0
2018-08-16,81.44999694824219
2018-10-19,81.58000183105469
2019-04-29,82.0999984741211
2019-01-23,83.98999786376953
2019-09-04,82.9000015258789
2018-11-20,83.05999755859375
2019-07-02,83.87999725341797
2019-05-31,83.8499984741211
2019-12-12,83.12000274658203
2020-05-18,84.20999908447266
2019-09-27,84.75
2020-03-03,85.0999984741211
2020-05-21,85.2300033569336
2019-05-14,85.45999908447266
2018-08-31,85.37000274658203
2018-07-30,83.5199966430664
2018-10-02,84.44999694824219
2019-04-12,85.58999633789062
2019-03-11,86.01000213623047
2019-02-07,86.29000091552734
2019-07-17,86.75
2019-09-19,86.22000122070312
2019-10-21,85.37999725341797
2019-12-18,86.41999816894531
2020-03-06,85.26000213623047
2019-10-03,87.06999969482422
2020-03-09,87.12000274658203
2020-05-27,86.23999786376953
2019-12-24,87.13999938964844
2020-03-12,86.63999938964844
2018-12-20,86.54000091552734
2019-08-01,86.5
2018-08-14,82.38999938964844
2018-07-13,81.86000061035156
2018-10-17,83.4800033569336
2019-05-29,82.97000122070312
2019-03-26,82.44999694824219
2019-02-22,82.12999725341797
2019-10-04,82.66999816894531
2019-11-05,83.0199966430664
2019-12-27,84.73999786376953
2020-06-02,84.91000366210938
2019-12-30,84.55000305175781
2020-03-18,83.47000122070312
2020-06-05,83.62000274658203
2019-07-15,83.87999725341797
2018-12-03,83.20999908447266
2019-06-13,84.18000030517578
2019-01-04,83.06999969482422
2018-08-29,81.93000030517578
2019-02-05,83.41999816894531
2018-11-01,85.02999877929688
2019-08-16,83.79000091552734
2019-04-10,84.16999816894531
2019-09-17,84.13999938964844
2019-10-15,84.30000305175781
2020-01-02,84.37000274658203
2020-06-08,84.9000015258789
2019-10-18,85.05999755859375
2020-03-24,84.41999816894531
2020-06-11,83.70999908447266
2020-01-08,84.97000122070312
2019-04-25,82.0
2019-07-30,81.29000091552734
2019-02-20,83.11000061035156
2018-07-11,82.2699966430664
2018-09-13,82.7300033569336
2018-10-15,84.05000305175781
2019-06-28,85.0
2018-12-18,86.0999984741211
2018-11-16,87.06999969482422
2019-10-02,85.58999633789062
2020-03-27,83.66999816894531
2020-01-10,83.55999755859375
2019-10-24,83.2300033569336
2020-03-30,82.91000366210938
2020-06-17,83.16000366210938
2020-01-14,83.58000183105469
2020-04-02,84.55000305175781
2019-01-02,84.91999816894531
2019-08-14,84.69000244140625
2018-10-30,84.66000366210938
2019-06-11,84.4000015258789
2019-05-10,84.52999877929688
2019-04-08,85.69999694824219
2018-08-27,85.6500015258789
2018-07-26,86.04000091552734
2018-09-28,86.0
2019-03-07,87.4000015258789
2019-10-30,87.16999816894531
2020-01-17,87.54000091552734
2020-06-23,86.68000030517578
2020-04-08,87.52999877929688
2020-06-26,88.7300033569336
2019-03-22,89.0
2019-01-17,88.9000015258789
2019-08-29,88.5999984741211
2018-11-14,89.13999938964844
2019-06-26,89.04000091552734
2018-09-11,89.19999694824219
2018-07-09,89.6500015258789
2018-08-10,89.33000183105469
2019-04-23,89.3499984741211
2019-09-30,89.88999938964844
2020-01-23,91.45999908447266
2019-11-08,91.83000183105469
2020-04-14,91.63999938964844
2019-11-11,91.5999984741211
2020-01-29,91.68000030517578
2020-04-17,91.52999877929688
2018-07-24,90.91999816894531
2018-09-26,91.08000183105469
2019-05-08,90.68000030517578
2019-03-05,91.2300033569336
2019-02-01,90.80000305175781
2018-12-31,89.08999633789062
2018-11-29,88.94999694824219
2019-08-12,89.72000122070312
2019-07-11,89.5199966430664
2019-09-13,89.2699966430664
2019-11-14,90.0999984741211
2020-04-20,91.86000061035156
2020-02-04,91.27999877929688
2020-04-23,90.72000122070312
2018-12-14,90.16999816894531
2019-08-27,89.66000366210938
2018-08-08,88.62999725341797
2018-10-11,85.0999984741211
2018-11-12,86.44000244140625
2019-07-26,86.5999984741211
