Dates,SPG
2019-06-13,2480700.0
2019-01-04,1302100.0
2018-08-29,1219100.0
2019-02-05,1238600.0
2018-11-01,1108500.0
2019-08-16,1044900.0
2019-04-10,1248300.0
2019-09-17,1137500.0
2019-10-15,1301400.0
2020-01-02,629700.0
2020-06-08,886400.0
2019-10-18,723600.0
2020-03-24,1077700.0
2020-06-11,1011600.0
2020-01-08,878800.0
2019-04-25,980900.0
2019-07-30,1443600.0
2019-02-20,1085600.0
2018-07-11,800400.0
2018-09-13,1262000.0
2018-10-15,1325100.0
2019-06-28,1145000.0
2018-12-18,1203500.0
2018-11-16,1074400.0
2019-10-02,1116100.0
2020-03-27,966900.0
2020-01-10,1297800.0
2019-10-24,1125200.0
2020-03-30,645400.0
2020-06-17,498700.0
2020-01-14,613800.0
2020-04-02,643500.0
2019-01-02,463800.0
2019-08-14,831600.0
2018-10-30,847200.0
2019-06-11,1231800.0
2019-05-10,1157800.0
2019-04-08,1002200.0
2018-08-27,916100.0
2018-07-26,1235000.0
2018-09-28,2973100.0
2019-03-07,1231600.0
2019-10-30,1037700.0
2020-01-17,1952000.0
2020-06-23,1317200.0
2020-04-08,1008500.0
2020-06-26,1523500.0
2019-03-22,1544500.0
2019-01-17,1096800.0
2019-08-29,971200.0
2018-11-14,1267000.0
2019-06-26,1779500.0
2018-09-11,1468700.0
2018-07-09,1172800.0
2018-08-10,1667500.0
2019-04-23,1603900.0
2019-09-30,1570200.0
2020-01-23,1695100.0
2019-11-08,1054400.0
2020-04-14,363000.0
2019-11-11,450300.0
2020-01-29,688800.0
2020-04-17,539000.0
2018-07-24,638900.0
2018-09-26,1092300.0
2019-05-08,576800.0
2019-03-05,875100.0
2019-02-01,1253700.0
2018-12-31,1004500.0
2018-11-29,1316100.0
2019-08-12,834500.0
2019-07-11,961700.0
2019-09-13,1249100.0
2019-11-14,1066200.0
2020-04-20,789500.0
2020-02-04,2246600.0
2020-04-23,1423500.0
2018-12-14,956300.0
2019-08-27,813400.0
2018-08-08,835800.0
2018-10-11,919400.0
2018-11-12,882400.0
2019-07-26,760100.0
2019-06-24,913900.0
2019-05-23,1209700.0
2019-03-20,1002300.0
2019-01-15,1308000.0
2019-11-20,1324200.0
2020-02-07,1975100.0
2020-02-10,1401600.0
2020-04-29,1089000.0
2019-11-26,1397500.0
2020-02-13,1288000.0
2019-01-30,1107700.0
2018-08-23,979300.0
2018-09-24,1047000.0
2018-11-27,1341100.0
2018-10-26,1898500.0
2019-07-09,2066700.0
2019-06-07,2006000.0
2019-05-06,1439400.0
2019-04-04,1460500.0
2019-09-11,2298200.0
2019-11-29,2901500.0
2020-05-05,3140800.0
2019-12-02,2691800.0
2020-02-19,1468300.0
2020-05-08,1824800.0
2019-05-21,2513700.0
2019-03-18,3947500.0
2018-09-07,3059300.0
2018-08-06,3389000.0
2018-10-09,4659900.0
2019-02-14,3394400.0
2018-12-12,3119400.0
2019-07-24,3205300.0
2019-09-26,4235700.0
2019-10-28,3203500.0
2019-12-05,3558500.0
2020-05-11,2605100.0
2019-07-03,2755800.0
2020-02-25,2045300.0
2020-05-14,2884200.0
2020-02-28,2924900.0
2019-08-08,2529500.0
2019-06-05,3805600.0
2018-07-20,3457900.0
2018-08-21,1735600.0
2018-10-24,2217600.0
2019-04-02,2129200.0
2019-03-01,1678600.0
2019-01-28,1326200.0
