Dates,ECL
2019-06-13,194.40504455566406
2019-01-04,190.4049835205078
2018-08-29,191.39755249023438
2019-02-05,193.1742401123047
2018-11-01,189.69033813476562
2019-08-16,188.2411651611328
2019-04-10,189.88885498046875
2019-09-17,191.7548828125
2019-10-15,193.29336547851562
2020-01-02,192.5687713623047
2020-06-08,193.2040252685547
2019-10-18,193.77972412109375
2020-03-24,192.5985565185547
2020-06-11,192.3802032470703
2020-01-08,190.18663024902344
2019-04-25,187.00045776367188
2019-07-30,186.95082092285156
2019-02-20,189.4123992919922
2018-07-11,190.51416015625
2018-09-13,190.16676330566406
2018-10-15,193.07501220703125
2019-06-28,192.27101135253906
2018-12-18,190.6431884765625
2018-11-16,189.56129455566406
2019-10-02,188.4297637939453
2020-03-27,191.53651428222656
2020-01-10,191.52659606933594
2019-10-24,189.38262939453125
2020-03-30,188.9756622314453
2020-06-17,187.43719482421875
2020-01-14,186.9210662841797
2020-04-02,188.98561096191406
2019-01-02,190.3354949951172
2019-08-14,190.31564331054688
2018-10-30,189.83920288085938
2019-06-11,188.02281188964844
2019-05-10,184.83665466308594
2019-04-08,181.66043090820312
2018-08-27,181.1542205810547
2018-07-26,180.7075653076172
2018-09-28,184.84657287597656
2019-03-07,185.5612335205078
2019-10-30,185.28329467773438
2020-01-17,183.7845458984375
2020-06-23,183.96319580078125
2020-04-08,182.5140380859375
2020-06-26,183.6753387451172
2019-03-22,185.02525329589844
2019-01-17,183.82423400878906
2019-08-29,183.7745819091797
2018-11-14,183.73489379882812
2019-06-26,183.8043670654297
2018-09-11,184.12200927734375
2018-07-09,185.0673370361328
2018-08-10,185.98281860351562
2019-04-23,184.7787628173828
2019-09-30,190.83888244628906
2020-01-23,190.2816162109375
2019-11-08,191.25680541992188
2020-04-14,190.510498046875
2019-11-11,190.69956970214844
2020-01-29,190.73936462402344
2020-04-17,190.67965698242188
2018-07-24,192.04293823242188
2018-09-26,189.29647827148438
2019-05-08,188.39096069335938
2019-03-05,186.78884887695312
2019-02-01,186.55001831054688
2018-12-31,186.6196746826172
2018-11-29,189.10740661621094
2019-08-12,188.0028533935547
2019-07-11,190.470703125
2019-09-13,189.02780151367188
2019-11-14,190.510498046875
2020-04-20,192.05288696289062
2020-02-04,194.62022399902344
2020-04-23,194.58041381835938
2018-12-14,195.43618774414062
2019-08-27,197.32688903808594
2018-08-08,197.0382843017578
2018-10-11,195.7845001220703
2018-11-12,197.20745849609375
2019-07-26,196.83929443359375
2019-06-24,198.50108337402344
2019-05-23,195.1476287841797
2019-03-20,200.54103088378906
