Dates,MYL
2019-06-07,8250500.0
2019-05-06,6321600.0
2019-04-04,5156000.0
2019-09-11,7667700.0
2019-11-29,16177300.0
2020-05-05,8359100.0
2019-12-02,10890500.0
2020-02-19,10527100.0
2020-05-08,10850500.0
2019-05-21,18763400.0
2019-03-18,7741000.0
2018-09-07,7579600.0
2018-08-06,10583800.0
2018-10-09,8777000.0
2019-02-14,9134800.0
2018-12-12,6569000.0
2019-07-24,7640300.0
2019-09-26,7367900.0
2019-10-28,8762200.0
2019-12-05,22350000.0
2020-05-11,13186200.0
2019-07-03,12575200.0
2020-02-25,13273700.0
2020-05-14,6579700.0
2020-02-28,6297700.0
2019-08-08,6234300.0
2019-06-05,7529800.0
2018-07-20,6768100.0
2018-08-21,7659400.0
2018-10-24,8137100.0
2019-04-02,9635500.0
2019-03-01,8622700.0
2019-01-28,5861300.0
2018-12-27,9792000.0
2019-09-09,3914400.0
2020-03-02,4936300.0
2020-05-20,4773200.0
2019-12-17,6746100.0
2020-03-05,6430500.0
2019-02-12,4269800.0
2019-01-11,4235500.0
2018-12-10,5530400.0
2019-08-23,3913100.0
2018-11-08,3712100.0
2019-07-22,5336900.0
2019-06-20,7026300.0
2018-09-05,5509500.0
2019-04-17,5824100.0
2019-09-24,3686900.0
2019-12-20,6109100.0
2020-05-26,7236800.0
2019-04-30,7219900.0
2019-12-23,8201600.0
2020-03-11,7248100.0
2020-05-29,12830200.0
2019-12-26,6471500.0
2020-06-01,9179300.0
2019-05-02,7518200.0
2019-02-27,6983200.0
2018-11-23,8534700.0
2019-08-06,4154700.0
2018-07-18,4980900.0
2018-09-20,5301600.0
2018-10-22,4932200.0
2019-07-05,6236000.0
2019-06-03,10340600.0
2019-10-09,6453700.0
2019-10-11,8152300.0
2020-03-17,6108000.0
2020-06-04,4638900.0
2019-10-14,3244700.0
2020-03-20,4732300.0
2018-11-06,7859900.0
2019-06-18,10387700.0
2019-05-17,8717100.0
2019-04-15,8972300.0
2019-03-14,11618000.0
2019-01-09,7870400.0
2018-08-02,7847500.0
2018-10-05,6877000.0
2019-08-21,5063400.0
2019-10-17,7755100.0
2020-03-23,9406100.0
2020-06-10,5221100.0
2019-02-25,5370400.0
2020-01-07,6634000.0
2020-03-26,4332700.0
2019-10-23,6905200.0
