Dates,FRT
2018-09-20,79.97000122070312
2018-10-22,78.48999786376953
2019-07-05,83.4800033569336
2019-06-03,83.79000091552734
2019-10-09,80.44000244140625
2019-10-11,79.91000366210938
2020-03-17,84.87000274658203
2020-06-04,88.33999633789062
2019-10-14,93.5999984741211
2020-03-20,94.77999877929688
2018-11-06,99.95999908447266
2019-06-18,102.54000091552734
2019-05-17,97.95999908447266
2019-04-15,94.63999938964844
2019-03-14,87.6500015258789
2019-01-09,90.47000122070312
2018-08-02,90.05000305175781
2018-10-05,92.81999969482422
2019-08-21,89.37999725341797
2019-10-17,88.1500015258789
2020-03-23,84.75
2020-06-10,84.72000122070312
2019-02-25,84.91999816894531
2020-01-07,82.47000122070312
2020-03-26,84.69000244140625
2019-10-23,82.7699966430664
