Dates,VRSK
2019-11-14,158.64999389648438
2020-04-20,160.55999755859375
2020-02-04,160.5500030517578
2020-04-23,161.3000030517578
2018-12-14,163.58999633789062
2019-08-27,165.10000610351562
2018-08-08,165.3000030517578
2018-10-11,163.9499969482422
2018-11-12,164.80999755859375
2019-07-26,164.17999267578125
2019-06-24,164.7100067138672
2019-05-23,162.47000122070312
2019-03-20,165.22000122070312
2019-01-15,168.1300048828125
2019-11-20,168.55999755859375
2020-02-07,168.9499969482422
2020-02-10,169.1199951171875
2020-04-29,169.94000244140625
2019-11-26,167.88999938964844
2020-02-13,169.27999877929688
2019-01-30,170.6699981689453
2018-08-23,171.3800048828125
2018-09-24,171.55999755859375
2018-11-27,169.74000549316406
2018-10-26,169.38999938964844
2019-07-09,168.69000244140625
2019-06-07,167.5800018310547
2019-05-06,162.82000732421875
2019-04-04,163.52999877929688
2019-09-11,155.7899932861328
2019-11-29,155.11000061035156
2020-05-05,163.1300048828125
2019-12-02,160.39999389648438
2020-02-19,169.17999267578125
2020-05-08,164.97000122070312
2019-05-21,163.3699951171875
2019-03-18,147.9199981689453
2018-09-07,156.74000549316406
2018-08-06,151.67999267578125
2018-10-09,139.49000549316406
2019-02-14,145.61000061035156
2018-12-12,130.05999755859375
2019-07-24,144.7100067138672
2019-09-26,135.11000061035156
2019-10-28,136.47999572753906
2019-12-05,124.25
2020-05-11,121.18000030517578
2019-07-03,137.27999877929688
2020-02-25,134.3000030517578
2020-05-14,142.10000610351562
2020-02-28,137.77000427246094
2019-08-08,146.8699951171875
2019-06-05,139.3800048828125
2018-07-20,140.77999877929688
2018-08-21,142.99000549316406
2018-10-24,141.64999389648438
2019-04-02,147.74000549316406
2019-03-01,147.1699981689453
2019-01-28,148.6999969482422
2018-12-27,148.25999450683594
2019-09-09,144.16000366210938
2020-03-02,150.3000030517578
2020-05-20,147.1300048828125
2019-12-17,149.11000061035156
2020-03-05,153.7899932861328
2019-02-12,149.32000732421875
2019-01-11,145.2100067138672
2018-12-10,151.1999969482422
2019-08-23,147.6999969482422
2018-11-08,148.5399932861328
2019-07-22,151.8000030517578
2019-06-20,151.7899932861328
2018-09-05,153.07000732421875
2019-04-17,152.8300018310547
2019-09-24,153.4499969482422
2019-12-20,154.4600067138672
2020-05-26,157.49000549316406
2019-04-30,155.17999267578125
2019-12-23,158.27000427246094
2020-03-11,159.57000732421875
2020-05-29,160.7100067138672
2019-12-26,156.60000610351562
2020-06-01,154.42999267578125
2019-05-02,153.89999389648438
2019-02-27,154.55999755859375
2018-11-23,158.32000732421875
2019-08-06,158.05999755859375
2018-07-18,159.5399932861328
2018-09-20,156.83999633789062
2018-10-22,157.27999877929688
2019-07-05,160.4600067138672
2019-06-03,163.4600067138672
2019-10-09,168.33999633789062
2019-10-11,172.67999267578125
2020-03-17,169.3800048828125
2020-06-04,170.9600067138672
2019-10-14,170.75999450683594
2020-03-20,164.4600067138672
2018-11-06,166.1300048828125
2019-06-18,169.6699981689453
2019-05-17,169.3300018310547
2019-04-15,171.24000549316406
2019-03-14,162.69000244140625
2019-01-09,162.6699981689453
2018-08-02,165.39999389648438
2018-10-05,166.4199981689453
2019-08-21,167.0500030517578
2019-10-17,166.85000610351562
2020-03-23,164.19000244140625
2020-06-10,167.27000427246094
2019-02-25,166.80999755859375
2020-01-07,163.69000244140625
2020-03-26,166.2100067138672
2019-10-23,162.88999938964844
