Dates,ZBH
2019-07-11,635800.0
2019-09-13,1009500.0
2019-11-14,654700.0
2020-04-20,664900.0
2020-02-04,852300.0
2020-04-23,926600.0
2018-12-14,851500.0
2019-08-27,796700.0
2018-08-08,737900.0
2018-10-11,678700.0
2018-11-12,829200.0
2019-07-26,1197400.0
2019-06-24,720200.0
2019-05-23,1407700.0
2019-03-20,1905600.0
2019-01-15,3068300.0
2019-11-20,1364100.0
2020-02-07,1185700.0
2020-02-10,889300.0
2020-04-29,1079900.0
2019-11-26,886800.0
2020-02-13,743700.0
2019-01-30,743200.0
2018-08-23,621700.0
2018-09-24,771400.0
2018-11-27,961200.0
2018-10-26,950900.0
2019-07-09,1020400.0
2019-06-07,1917900.0
2019-05-06,2300000.0
2019-04-04,1273100.0
2019-09-11,2046400.0
2019-11-29,2473600.0
2020-05-05,1712400.0
2019-12-02,1933300.0
2020-02-19,2009000.0
2020-05-08,2104100.0
2019-05-21,2800600.0
2019-03-18,2380500.0
2018-09-07,2649900.0
2018-08-06,2328900.0
2018-10-09,3323600.0
2019-02-14,4476800.0
2018-12-12,4818600.0
2019-07-24,3774500.0
2019-09-26,3902800.0
2019-10-28,3113800.0
2019-12-05,3012700.0
2020-05-11,2487100.0
2019-07-03,2339300.0
2020-02-25,2313500.0
2020-05-14,2254100.0
2020-02-28,1822100.0
2019-08-08,2024800.0
2019-06-05,1923700.0
2018-07-20,1713800.0
2018-08-21,1633700.0
2018-10-24,2557700.0
2019-04-02,2632000.0
2019-03-01,3021400.0
2019-01-28,2937200.0
2018-12-27,2060200.0
2019-09-09,1133200.0
2020-03-02,2304900.0
2020-05-20,1599500.0
2019-12-17,1446400.0
2020-03-05,1908200.0
2019-02-12,1097100.0
2019-01-11,1502600.0
2018-12-10,1602500.0
2019-08-23,3186300.0
2018-11-08,1475900.0
2019-07-22,1468900.0
2019-06-20,1210100.0
2018-09-05,1383300.0
2019-04-17,1713600.0
2019-09-24,1507300.0
2019-12-20,1353900.0
2020-05-26,1071900.0
2019-04-30,820800.0
2019-12-23,1520300.0
2020-03-11,1465200.0
2020-05-29,1901200.0
2019-12-26,1351200.0
2020-06-01,1913900.0
2019-05-02,1611600.0
2019-02-27,855700.0
2018-11-23,2375900.0
2019-08-06,1519000.0
2018-07-18,1403000.0
2018-09-20,2490200.0
2018-10-22,1027400.0
2019-07-05,1967500.0
2019-06-03,1494300.0
2019-10-09,959000.0
2019-10-11,1345800.0
2020-03-17,612000.0
2020-06-04,1031900.0
2019-10-14,1382400.0
2020-03-20,1150400.0
2018-11-06,1879900.0
2019-06-18,1330900.0
2019-05-17,1658500.0
2019-04-15,1981300.0
2019-03-14,1937300.0
2019-01-09,1853700.0
2018-08-02,1498200.0
2018-10-05,1639100.0
2019-08-21,1056700.0
2019-10-17,865700.0
2020-03-23,1562300.0
2020-06-10,918800.0
2019-02-25,930000.0
2020-01-07,2928800.0
2020-03-26,3492300.0
2019-10-23,3381600.0
