Dates,BAM
2020-01-30,30.26041603088379
2019-11-15,31.26670265197754
2020-04-21,30.913850784301758
2019-04-16,31.083738327026367
2019-03-15,31.090274810791016
2019-02-11,31.14908790588379
2019-01-10,30.972658157348633
2019-08-22,30.685148239135742
2018-11-07,30.737424850463867
2018-08-03,30.587133407592773
2018-09-04,30.410709381103516
2019-06-19,30.574066162109375
2019-09-23,30.52832794189453
2019-11-18,30.31269073486328
2020-02-05,30.358592987060547
2020-04-24,30.06352996826172
2019-03-29,30.220897674560547
2019-11-21,30.496286392211914
2020-04-27,30.70610809326172
2020-02-11,31.020841598510742
2020-04-30,31.283117294311523
2019-05-01,31.151979446411133
2019-02-26,31.086410522460938
2019-01-25,31.047073364257812
2018-12-24,31.040512084960938
2019-09-06,30.942157745361328
2018-07-17,30.91592788696289
2018-09-19,31.460155487060547
2019-08-05,31.525724411010742
2019-10-08,31.722434997558594
2019-12-11,31.571622848510742
2019-11-27,31.48638343811035
2020-02-14,31.256893157958984
2020-05-06,31.158536911010742
2019-01-08,31.256893157958984
2018-12-07,31.329015731811523
2019-08-20,31.617525100708008
2018-11-05,31.781444549560547
2019-07-19,32.0699462890625
2018-10-04,31.997821807861328
2019-06-17,31.650304794311523
2019-05-16,31.847015380859375
2018-08-01,31.991270065307617
2019-03-13,32.0043830871582
2019-12-03,32.24042892456055
2020-02-20,32.227317810058594
2019-12-06,31.912580490112305
2020-05-12,31.71587371826172
2019-12-09,31.91913604736328
2020-02-26,31.519166946411133
2020-05-15,31.466712951660156
2019-03-28,31.663419723510742
2018-09-17,32.23387145996094
2018-08-16,32.29944610595703
2018-10-19,32.450252532958984
2019-04-29,32.43714141845703
2019-01-23,32.25354766845703
2019-09-04,32.128963470458984
2018-11-20,32.33222961425781
2019-07-02,32.14207077026367
2019-05-31,31.30934715270996
2019-12-12,31.879798889160156
2020-05-18,32.28632736206055
2019-09-27,32.85678482055664
2020-03-03,33.35511016845703
2020-05-21,33.13217544555664
2019-05-14,33.46002197265625
2018-08-31,32.633846282958984
2018-07-30,32.81743621826172
2018-10-02,33.505916595458984
2019-04-12,33.82065200805664
2019-03-11,33.76819610595703
2019-02-07,34.056697845458984
2019-07-17,33.94523239135742
2019-09-19,33.17151641845703
2019-10-21,33.538700103759766
2019-12-18,33.39445114135742
2020-03-06,33.57149124145508
2019-10-03,33.82801055908203
2020-03-09,33.94640350341797
2020-05-27,33.99245071411133
2019-12-24,34.4989128112793
2020-03-12,34.92645263671875
2018-12-20,35.1763916015625
2019-08-01,34.89356231689453
2018-08-14,34.48575973510742
