Dates,WDC
2019-02-15,45.61000061035156
2019-01-14,46.349998474121094
2018-07-06,47.540000915527344
2018-08-07,47.470001220703125
2018-10-10,47.380001068115234
2018-12-13,47.65999984741211
2019-08-26,47.90999984741211
2019-07-25,47.04999923706055
2019-05-22,47.439998626708984
2019-03-19,50.7599983215332
2020-01-06,50.5
2020-03-25,48.5
2020-06-12,46.65999984741211
2019-10-22,50.59000015258789
2020-01-09,51.58000183105469
2020-06-15,50.47999954223633
2019-10-25,48.099998474121094
2020-03-31,45.40999984741211
2020-06-18,45.72999954223633
2019-04-03,47.65999984741211
2018-08-22,48.75
2018-10-25,48.06999969482422
2019-01-29,47.150001525878906
2018-12-28,47.63999938964844
2018-11-26,47.83000183105469
2019-08-09,47.720001220703125
2019-07-08,46.560001373291016
2019-06-06,47.869998931884766
2019-09-10,48.369998931884766
2020-01-15,47.09000015258789
2020-04-03,46.869998931884766
2019-10-31,44.939998626708984
2020-04-06,44.7599983215332
2020-06-24,46.279998779296875
2018-11-09,48.349998474121094
2019-07-23,48.84000015258789
2019-06-21,51.400001525878906
2019-05-20,50.75
2019-04-18,51.290000915527344
2018-09-06,50.36000061035156
2018-10-08,50.0
2019-02-13,49.599998474121094
2018-12-11,50.43000030517578
2019-09-25,51.27000045776367
2020-01-21,51.47999954223633
2020-04-09,52.869998931884766
2019-11-06,53.34000015258789
2020-01-24,53.900001525878906
2020-01-27,53.52000045776367
2020-04-15,53.41999816894531
2018-12-26,52.79999923706055
2019-08-07,52.529998779296875
2019-06-04,48.79999923706055
2018-09-21,50.310001373291016
2018-07-19,47.810001373291016
2018-08-20,50.630001068115234
2018-10-23,49.56999969482422
2019-05-03,49.68000030517578
2019-04-01,48.279998779296875
2019-02-28,46.650001525878906
2019-11-12,46.619998931884766
2020-01-30,44.56999969482422
2019-11-15,44.220001220703125
2020-04-21,42.84000015258789
2019-04-16,43.34000015258789
2019-03-15,43.9900016784668
2019-02-11,44.349998474121094
2019-01-10,43.43000030517578
2019-08-22,41.65999984741211
2018-11-07,42.54999923706055
2018-08-03,41.869998931884766
2018-09-04,40.22999954223633
2019-06-19,40.77000045776367
2019-09-23,39.560001373291016
2019-11-18,38.75
2020-02-05,39.08000183105469
2020-04-24,37.16999816894531
2019-03-29,36.83000183105469
2019-11-21,37.41999816894531
2020-04-27,37.79999923706055
2020-02-11,37.380001068115234
2020-04-30,36.810001373291016
2019-05-01,37.470001220703125
2019-02-26,38.08000183105469
2019-01-25,35.970001220703125
2018-12-24,36.060001373291016
2019-09-06,35.900001525878906
2018-07-17,35.61000061035156
2018-09-19,36.75
2019-08-05,38.31999969482422
2019-10-08,39.27000045776367
2019-12-11,38.79999923706055
2019-11-27,40.25
2020-02-14,40.88999938964844
2020-05-06,43.400001525878906
2019-01-08,43.41999816894531
2018-12-07,45.310001373291016
2019-08-20,48.540000915527344
2018-11-05,47.400001525878906
2019-07-19,47.689998626708984
2018-10-04,47.279998779296875
2019-06-17,47.790000915527344
2019-05-16,49.470001220703125
2018-08-01,52.310001373291016
2019-03-13,52.77000045776367
2019-12-03,53.779998779296875
2020-02-20,54.060001373291016
2019-12-06,50.5099983215332
2020-05-12,51.0
2019-12-09,51.29999923706055
2020-02-26,51.880001068115234
2020-05-15,52.81999969482422
2019-03-28,54.68000030517578
2018-09-17,55.630001068115234
2018-08-16,56.38999938964844
2018-10-19,56.189998626708984
2019-04-29,54.709999084472656
2019-01-23,54.90999984741211
2019-09-04,53.33000183105469
2018-11-20,53.630001068115234
2019-07-02,52.7400016784668
2019-05-31,51.75
2019-12-12,52.5099983215332
2020-05-18,51.43000030517578
2019-09-27,52.959999084472656
2020-03-03,53.529998779296875
2020-05-21,52.790000915527344
2019-05-14,53.81999969482422
2018-08-31,53.27000045776367
2018-07-30,53.45000076293945
2018-10-02,54.68000030517578
2019-04-12,56.220001220703125
2019-03-11,55.65999984741211
2019-02-07,56.20000076293945
2019-07-17,56.119998931884766
2019-09-19,54.470001220703125
2019-10-21,54.34000015258789
2019-12-18,52.599998474121094
2020-03-06,51.84000015258789
2019-10-03,54.34000015258789
2020-03-09,55.59000015258789
2020-05-27,56.11000061035156
2019-12-24,58.86000061035156
2020-03-12,60.2400016784668
2018-12-20,61.68000030517578
2019-08-01,62.0099983215332
2018-08-14,61.720001220703125
2018-07-13,62.70000076293945
2018-10-17,64.04000091552734
2019-05-29,64.30999755859375
2019-03-26,62.560001373291016
2019-02-22,62.650001525878906
2019-10-04,62.11000061035156
2019-11-05,62.06999969482422
2019-12-27,60.59000015258789
2020-06-02,60.63999938964844
2019-12-30,59.369998931884766
2020-03-18,59.459999084472656
2020-06-05,60.880001068115234
2019-07-15,60.18000030517578
2018-12-03,58.83000183105469
2019-06-13,58.369998931884766
2019-01-04,56.150001525878906
2018-08-29,55.47999954223633
2019-02-05,57.970001220703125
2018-11-01,57.93000030517578
2019-08-16,55.400001525878906
2019-04-10,55.93000030517578
2019-09-17,56.130001068115234
2019-10-15,58.0099983215332
2020-01-02,58.79999923706055
2020-06-08,59.2599983215332
2019-10-18,59.34000015258789
2020-03-24,58.709999084472656
2020-06-11,57.2599983215332
2020-01-08,58.279998779296875
2019-04-25,58.709999084472656
2019-07-30,56.880001068115234
2019-02-20,58.2400016784668
2018-07-11,59.279998779296875
2018-09-13,61.560001373291016
2018-10-15,62.22999954223633
2019-06-28,61.33000183105469
2018-12-18,51.54999923706055
2018-11-16,51.5099983215332
