Dates,DISCK
2019-10-21,25.6200008392334
2019-12-18,25.670000076293945
2020-03-06,24.8700008392334
2019-10-03,25.600000381469727
2020-03-09,26.31999969482422
2020-05-27,25.780000686645508
2019-12-24,25.6200008392334
2020-03-12,25.790000915527344
2018-12-20,25.860000610351562
2019-08-01,25.770000457763672
2018-08-14,25.770000457763672
2018-07-13,26.790000915527344
2018-10-17,27.020000457763672
2019-05-29,26.59000015258789
2019-03-26,26.209999084472656
2019-02-22,26.18000030517578
2019-10-04,25.530000686645508
2019-11-05,25.40999984741211
2019-12-27,25.040000915527344
2020-06-02,24.399999618530273
2019-12-30,24.90999984741211
2020-03-18,24.3799991607666
2020-06-05,24.719999313354492
2019-07-15,24.520000457763672
2018-12-03,24.729999542236328
2019-06-13,24.700000762939453
2019-01-04,24.639999389648438
2018-08-29,24.549999237060547
2019-02-05,25.149999618530273
2018-11-01,24.959999084472656
2019-08-16,25.25
2019-04-10,25.18000030517578
2019-09-17,25.239999771118164
2019-10-15,25.860000610351562
2020-01-02,26.010000228881836
2020-06-08,25.850000381469727
2019-10-18,25.860000610351562
2020-03-24,25.920000076293945
2020-06-11,25.989999771118164
2020-01-08,26.110000610351562
2019-04-25,26.149999618530273
2019-07-30,26.100000381469727
2019-02-20,26.139999389648438
2018-07-11,25.739999771118164
2018-09-13,25.59000015258789
2018-10-15,25.690000534057617
2019-06-28,25.329999923706055
2018-12-18,24.959999084472656
2018-11-16,25.350000381469727
2019-10-02,25.600000381469727
2020-03-27,26.25
2020-01-10,26.1200008392334
2019-10-24,26.5
2020-03-30,28.719999313354492
2020-06-17,28.329999923706055
2020-01-14,28.690000534057617
2020-04-02,28.3799991607666
2019-01-02,27.8700008392334
2019-08-14,28.020000457763672
2018-10-30,28.170000076293945
2019-06-11,28.90999984741211
2019-05-10,29.110000610351562
2019-04-08,29.6200008392334
2018-08-27,29.940000534057617
2018-07-26,30.34000015258789
2018-09-28,29.940000534057617
2019-03-07,31.200000762939453
2019-10-30,30.600000381469727
2020-01-17,30.5
2020-06-23,30.079999923706055
2020-04-08,29.920000076293945
2020-06-26,29.969999313354492
2019-03-22,30.020000457763672
2019-01-17,29.8700008392334
2019-08-29,29.860000610351562
2018-11-14,29.979999542236328
2019-06-26,29.920000076293945
2018-09-11,30.110000610351562
2018-07-09,30.149999618530273
2018-08-10,30.049999237060547
2019-04-23,30.229999542236328
2019-09-30,30.100000381469727
2020-01-23,30.649999618530273
2019-11-08,30.739999771118164
2020-04-14,30.56999969482422
2019-11-11,30.780000686645508
2020-01-29,30.959999084472656
2020-04-17,30.790000915527344
2018-07-24,30.540000915527344
2018-09-26,30.610000610351562
2019-05-08,29.850000381469727
2019-03-05,29.8799991607666
2019-02-01,29.84000015258789
2018-12-31,30.059999465942383
2018-11-29,30.209999084472656
2019-08-12,30.219999313354492
2019-07-11,29.8700008392334
2019-09-13,29.790000915527344
