Dates,RMD
2020-06-24,102.76000213623047
2018-11-09,103.83000183105469
2019-07-23,103.8499984741211
2019-06-21,102.77999877929688
2019-05-20,100.8499984741211
2019-04-18,99.8499984741211
2018-09-06,100.3499984741211
2018-10-08,100.91999816894531
2019-02-13,100.86000061035156
2018-12-11,100.31999969482422
2019-09-25,101.30999755859375
2020-01-21,102.19999694824219
2020-04-09,101.80999755859375
2019-11-06,97.33999633789062
2020-01-24,96.80999755859375
2020-01-27,98.30999755859375
2020-04-15,99.54000091552734
2018-12-26,101.01000213623047
2019-08-07,100.94000244140625
2019-06-04,102.18000030517578
2018-09-21,102.63999938964844
2018-07-19,102.55999755859375
2018-08-20,104.0199966430664
2018-10-23,103.62000274658203
2019-05-03,110.2300033569336
2019-04-01,110.3499984741211
2019-02-28,111.68000030517578
2019-11-12,110.44999694824219
2020-01-30,109.5199966430664
2019-11-15,109.05999755859375
2020-04-21,109.0999984741211
2019-04-16,110.76000213623047
2019-03-15,110.97000122070312
2019-02-11,112.68000030517578
2019-01-10,112.13999938964844
2019-08-22,111.6500015258789
2018-11-07,112.0
2018-08-03,112.08999633789062
2018-09-04,111.2699966430664
2019-06-19,112.55999755859375
2019-09-23,113.3499984741211
2019-11-18,111.58000183105469
2020-02-05,112.19000244140625
2020-04-24,111.91000366210938
2019-03-29,112.45999908447266
2019-11-21,112.43000030517578
2020-04-27,114.48999786376953
2020-02-11,115.0199966430664
2020-04-30,116.37999725341797
2019-05-01,116.83999633789062
2019-02-26,117.3499984741211
2019-01-25,118.12000274658203
2018-12-24,118.5999984741211
2019-09-06,117.7699966430664
2018-07-17,118.20999908447266
2018-09-19,118.9800033569336
2019-08-05,119.77999877929688
2019-10-08,121.4000015258789
2019-12-11,119.91000366210938
2019-11-27,119.69999694824219
2020-02-14,119.61000061035156
2020-05-06,118.0
2019-01-08,119.44999694824219
2018-12-07,120.36000061035156
2019-08-20,122.02999877929688
2018-11-05,122.62999725341797
2019-07-19,123.08999633789062
2018-10-04,122.66000366210938
2019-06-17,123.2300033569336
2019-05-16,122.76000213623047
2018-08-01,123.94999694824219
2019-03-13,123.77999877929688
2019-12-03,123.19000244140625
2020-02-20,123.63999938964844
2019-12-06,122.75
2020-05-12,122.23999786376953
2019-12-09,123.80000305175781
2020-02-26,123.41000366210938
2020-05-15,123.29000091552734
2019-03-28,121.91000366210938
2018-09-17,123.02999877929688
2018-08-16,123.2699966430664
2018-10-19,125.58000183105469
2019-04-29,126.62000274658203
2019-01-23,129.13999938964844
2019-09-04,127.54000091552734
2018-11-20,129.14999389648438
2019-07-02,129.1300048828125
2019-05-31,125.7699966430664
2019-12-12,126.8499984741211
2020-05-18,125.62000274658203
2019-09-27,128.49000549316406
2020-03-03,130.22999572753906
2020-05-21,131.1300048828125
2019-05-14,131.14999389648438
2018-08-31,131.0399932861328
2018-07-30,130.69000244140625
2018-10-02,132.8300018310547
2019-04-12,135.17999267578125
2019-03-11,135.22999572753906
2019-02-07,135.85000610351562
2019-07-17,134.8300018310547
2019-09-19,131.35000610351562
2019-10-21,132.67999267578125
2019-12-18,134.72999572753906
2020-03-06,135.6300048828125
2019-10-03,136.91000366210938
2020-03-09,137.47000122070312
2020-05-27,136.57000732421875
2019-12-24,137.17999267578125
2020-03-12,138.0800018310547
2018-12-20,139.60000610351562
2019-08-01,134.86000061035156
2018-08-14,130.75
2018-07-13,132.77000427246094
2018-10-17,133.7899932861328
2019-05-29,131.24000549316406
2019-03-26,130.52999877929688
2019-02-22,131.14999389648438
2019-10-04,131.05999755859375
2019-11-05,132.39999389648438
2019-12-27,132.3000030517578
2020-06-02,134.27000427246094
2019-12-30,135.2899932861328
2020-03-18,134.75999450683594
2020-06-05,134.42999267578125
2019-07-15,133.07000732421875
2018-12-03,133.67999267578125
2019-06-13,132.94000244140625
2019-01-04,128.07000732421875
2018-08-29,127.4000015258789
2019-02-05,130.85000610351562
2018-11-01,131.6300048828125
2019-08-16,129.83999633789062
2019-04-10,131.63999938964844
2019-09-17,128.88999938964844
2019-10-15,129.58999633789062
2020-01-02,128.99000549316406
2020-06-08,129.8699951171875
2019-10-18,130.33999633789062
2020-03-24,131.1999969482422
2020-06-11,129.9499969482422
2020-01-08,130.1199951171875
2019-04-25,126.31999969482422
2019-07-30,126.26000213623047
2019-02-20,126.41999816894531
2018-07-11,141.2899932861328
2018-09-13,141.72999572753906
2018-10-15,144.00999450683594
2019-06-28,145.36000061035156
2018-12-18,146.9199981689453
2018-11-16,147.3800048828125
2019-10-02,146.14999389648438
2020-03-27,144.0800018310547
2020-01-10,142.77999877929688
2019-10-24,141.3800048828125
2020-03-30,141.80999755859375
2020-06-17,143.07000732421875
2020-01-14,143.36000061035156
2020-04-02,143.3699951171875
2019-01-02,145.0
2019-08-14,145.60000610351562
2018-10-30,146.57000732421875
2019-06-11,148.0
2019-05-10,148.1300048828125
2019-04-08,145.75
2018-08-27,144.55999755859375
2018-07-26,145.00999450683594
2018-09-28,146.67999267578125
2019-03-07,149.14999389648438
2019-10-30,148.83999633789062
2020-01-17,147.72999572753906
2020-06-23,147.1699981689453
2020-04-08,148.85000610351562
2020-06-26,149.38999938964844
2019-03-22,150.47999572753906
2019-01-17,149.0399932861328
2019-08-29,148.55999755859375
2018-11-14,148.6199951171875
2019-06-26,150.3699951171875
2018-09-11,151.30999755859375
2018-07-09,154.25999450683594
2018-08-10,154.52000427246094
2019-04-23,155.07000732421875
2019-09-30,155.13999938964844
2020-01-23,155.55999755859375
2019-11-08,155.0
2020-04-14,154.89999389648438
2019-11-11,155.07000732421875
2020-01-29,155.08999633789062
2020-04-17,154.16000366210938
2018-07-24,153.57000732421875
2018-09-26,154.0399932861328
2019-05-08,153.1199951171875
2019-03-05,153.85000610351562
2019-02-01,154.72999572753906
2018-12-31,154.17999267578125
2018-11-29,156.57000732421875
2019-08-12,155.8699951171875
2019-07-11,156.4499969482422
2019-09-13,156.9499969482422
2019-11-14,157.89999389648438
2020-04-20,158.1999969482422
2020-02-04,160.24000549316406
2020-04-23,160.00999450683594
2018-12-14,161.83999633789062
2019-08-27,160.88999938964844
2018-08-08,160.80999755859375
2018-10-11,159.57000732421875
2018-11-12,161.24000549316406
2019-07-26,164.11000061035156
2019-06-24,162.99000549316406
2019-05-23,158.16000366210938
2019-03-20,159.22999572753906
2019-01-15,164.9199981689453
2019-11-20,166.9600067138672
2020-02-07,167.1300048828125
2020-02-10,168.75999450683594
2020-04-29,170.82000732421875
2019-11-26,173.0399932861328
2020-02-13,172.47000122070312
2019-01-30,172.27999877929688
2018-08-23,173.9499969482422
2018-09-24,174.17999267578125
2018-11-27,175.02000427246094
2018-10-26,172.50999450683594
2019-07-09,173.5399932861328
2019-06-07,168.25999450683594
2019-05-06,164.7899932861328
2019-04-04,165.5500030517578
2019-09-11,162.66000366210938
2019-11-29,153.02999877929688
2020-05-05,160.0500030517578
2019-12-02,162.63999938964844
2020-02-19,167.52000427246094
2020-05-08,168.16000366210938
2019-05-21,161.42999267578125
2019-03-18,151.61000061035156
2018-09-07,152.88999938964844
2018-08-06,150.5
2018-10-09,135.91000366210938
2019-02-14,136.24000549316406
2018-12-12,134.10000610351562
2019-07-24,135.58999633789062
2019-09-26,146.22999572753906
2019-10-28,134.80999755859375
2019-12-05,113.43000030517578
2020-05-11,108.8499984741211
2019-07-03,124.58000183105469
2020-02-25,132.52000427246094
2020-05-14,135.02999877929688
2020-02-28,136.0
2019-08-08,143.0
2019-06-05,145.6300048828125
2018-07-20,138.16000366210938
2018-08-21,140.2899932861328
2018-10-24,147.0
2019-04-02,155.58999633789062
2019-03-01,152.41000366210938
2019-01-28,149.60000610351562
2018-12-27,149.6999969482422
2019-09-09,154.13999938964844
2020-03-02,160.10000610351562
2020-05-20,157.9499969482422
2019-12-17,160.1999969482422
2020-03-05,160.50999450683594
2019-02-12,161.8300018310547
2019-01-11,156.5
2018-12-10,157.1699981689453
2019-08-23,158.61000061035156
2018-11-08,158.66000366210938
2019-07-22,160.1699981689453
2019-06-20,156.77999877929688
2018-09-05,156.1199951171875
2019-04-17,152.27000427246094
2019-09-24,156.82000732421875
2019-12-20,153.1199951171875
2020-05-26,154.27000427246094
2019-04-30,159.3300018310547
2019-12-23,160.0399932861328
2020-03-11,160.88999938964844
2020-05-29,160.9600067138672
2019-12-26,167.14999389648438
2020-06-01,162.0
2019-05-02,158.75
2019-02-27,161.16000366210938
2018-11-23,165.49000549316406
2019-08-06,162.0
2018-07-18,161.4600067138672
2018-09-20,158.08999633789062
2018-10-22,159.75999450683594
2019-07-05,159.6199951171875
2019-06-03,149.16000366210938
