Dates,SWKS
2020-03-06,73.55999755859375
2019-10-03,75.52999877929688
2020-03-09,75.62999725341797
2020-05-27,75.23999786376953
2019-12-24,76.27999877929688
2020-03-12,79.33999633789062
2018-12-20,80.13999938964844
2019-08-01,80.83000183105469
2018-08-14,80.30000305175781
2018-07-13,83.58999633789062
2018-10-17,84.3499984741211
2019-05-29,83.11000061035156
2019-03-26,82.54000091552734
2019-02-22,81.61000061035156
2019-10-04,80.81999969482422
2019-11-05,81.4800033569336
2019-12-27,80.95999908447266
2020-06-02,80.97000122070312
2019-12-30,80.73999786376953
2020-03-18,81.0199966430664
2020-06-05,80.7300033569336
2019-07-15,80.73999786376953
2018-12-03,79.33000183105469
2019-06-13,81.01000213623047
2019-01-04,76.9800033569336
2018-08-29,77.44000244140625
2019-02-05,80.69999694824219
2018-11-01,81.70999908447266
2019-08-16,80.5999984741211
2019-04-10,81.12999725341797
2019-09-17,85.48999786376953
2019-10-15,86.47000122070312
2020-01-02,85.31999969482422
2020-06-08,87.08000183105469
2019-10-18,86.62000274658203
2020-03-24,87.63999938964844
