Dates,CAT
2018-10-30,143.02000427246094
2019-06-11,142.75999450683594
2019-05-10,140.10000610351562
2019-04-08,140.9499969482422
2018-08-27,143.02999877929688
2018-07-26,143.8000030517578
2018-09-28,145.49000549316406
2019-03-07,143.6999969482422
2019-10-30,143.7899932861328
2020-01-17,142.83999633789062
2020-06-23,138.55999755859375
2020-04-08,140.0
2020-06-26,139.52999877929688
2019-03-22,142.1699981689453
2019-01-17,142.3699951171875
2019-08-29,141.75
2018-11-14,143.2899932861328
2019-06-26,143.0
2018-09-11,145.14999389648438
2018-07-09,145.22999572753906
2018-08-10,145.4600067138672
2019-04-23,145.60000610351562
2019-09-30,144.3000030517578
2020-01-23,145.24000549316406
2019-11-08,146.77999877929688
2020-04-14,147.2899932861328
2019-11-11,146.99000549316406
2020-01-29,147.99000549316406
2020-04-17,147.00999450683594
2018-07-24,146.7899932861328
2018-09-26,147.97999572753906
2019-05-08,147.4499969482422
2019-03-05,146.5399932861328
2019-02-01,145.50999450683594
2018-12-31,146.4600067138672
