Dates,BA
2019-05-08,330.6300048828125
2019-03-05,329.29998779296875
2019-02-01,334.260009765625
2018-12-31,332.3999938964844
2018-11-29,334.95001220703125
2019-08-12,335.55999755859375
2019-07-11,332.3999938964844
2019-09-13,330.760009765625
2019-11-14,332.3500061035156
2020-04-20,331.04998779296875
2020-02-04,332.3900146484375
2020-04-23,322.6000061035156
2018-12-14,309.82000732421875
2019-08-27,308.5
2018-08-08,322.0
2018-10-11,316.2099914550781
2018-11-12,318.04998779296875
2019-07-26,324.3500061035156
2019-06-24,320.5
2019-05-23,321.75
2019-03-20,318.75
2019-01-15,318.2799987792969
2019-11-20,320.5
2020-02-07,330.9100036621094
2020-02-10,340.3699951171875
2020-04-29,337.2200012207031
2019-11-26,347.6400146484375
2020-02-13,346.4200134277344
2019-01-30,344.32000732421875
2018-08-23,342.29998779296875
2018-09-24,338.7699890136719
2018-11-27,338.1199951171875
2018-10-26,338.2900085449219
2019-07-09,334.04998779296875
2019-06-07,320.0
2019-05-06,318.260009765625
2019-04-04,307.0
2019-09-11,300.3699951171875
2019-11-29,278.07000732421875
2020-05-05,279.5400085449219
2019-12-02,292.0
2020-02-19,284.54998779296875
2020-05-08,275.7900085449219
2019-05-21,253.6999969482422
2019-03-18,238.0
2018-09-07,237.0
2018-08-06,222.99000549316406
2018-10-09,160.52999877929688
2019-02-14,174.97000122070312
2018-12-12,149.4199981689453
2019-07-24,132.50999450683594
2019-09-26,99.86000061035156
2019-10-28,98.80000305175781
2019-12-05,99.8499984741211
2020-05-11,98.75
2019-07-03,123.68000030517578
2020-02-25,154.89999389648438
2020-05-14,172.2899932861328
2020-02-28,172.0
2019-08-08,153.80999755859375
2019-06-05,155.0
2018-07-20,138.91000366210938
2018-08-21,128.50999450683594
2018-10-24,125.0
2019-04-02,133.6999969482422
2019-03-01,162.0
2019-01-28,147.50999450683594
2018-12-27,154.7100067138672
2019-09-09,155.5
2020-03-02,150.50999450683594
2020-05-20,139.0
