Dates,EXC
2018-12-31,6139500.0
2018-11-29,5320900.0
2019-08-12,5738500.0
2019-07-11,6653900.0
2019-09-13,6279700.0
2019-11-14,5877300.0
2020-04-20,5763900.0
2020-02-04,7566300.0
2020-04-23,5097400.0
2018-12-14,8751200.0
2019-08-27,6076000.0
2018-08-08,4801200.0
2018-10-11,5451100.0
2018-11-12,5118500.0
2019-07-26,6525100.0
2019-06-24,5240500.0
2019-05-23,6880700.0
2019-03-20,6122900.0
2019-01-15,6091400.0
2019-11-20,5063000.0
2020-02-07,4162500.0
2020-02-10,4831400.0
2020-04-29,4227400.0
2019-11-26,6187400.0
2020-02-13,5279700.0
2019-01-30,5165500.0
2018-08-23,3643100.0
2018-09-24,5163100.0
2018-11-27,4023500.0
2018-10-26,3745300.0
2019-07-09,7352300.0
2019-06-07,5989500.0
2019-05-06,7610200.0
2019-04-04,6901200.0
2019-09-11,8275200.0
2019-11-29,14879100.0
2020-05-05,9653800.0
2019-12-02,11652000.0
2020-02-19,8139800.0
2020-05-08,8488900.0
2019-05-21,9421600.0
2019-03-18,12448000.0
2018-09-07,13291200.0
2018-08-06,9142300.0
2018-10-09,13262300.0
2019-02-14,11414400.0
2018-12-12,8626600.0
2019-07-24,13613400.0
2019-09-26,9679700.0
2019-10-28,7480900.0
2019-12-05,8645000.0
2020-05-11,9696500.0
2019-07-03,11154300.0
2020-02-25,9018500.0
2020-05-14,6956200.0
2020-02-28,6617400.0
2019-08-08,7186100.0
2019-06-05,10587800.0
2018-07-20,5835500.0
2018-08-21,4312200.0
2018-10-24,6410400.0
2019-04-02,6897600.0
2019-03-01,6199400.0
2019-01-28,6604500.0
2018-12-27,9360900.0
2019-09-09,5644200.0
2020-03-02,5024300.0
2020-05-20,5905500.0
2019-12-17,4541500.0
2020-03-05,5713600.0
2019-02-12,4945300.0
2019-01-11,7887700.0
2018-12-10,4088200.0
2019-08-23,4590500.0
2018-11-08,5363000.0
2019-07-22,4128100.0
2019-06-20,6341400.0
2018-09-05,4590800.0
2019-04-17,4958900.0
2019-09-24,4856300.0
2019-12-20,6164600.0
2020-05-26,4835300.0
2019-04-30,5029600.0
2019-12-23,6579300.0
2020-03-11,8152800.0
2020-05-29,7220900.0
2019-12-26,7480800.0
2020-06-01,7339800.0
2019-05-02,6312400.0
2019-02-27,11716700.0
2018-11-23,6308800.0
2019-08-06,5307100.0
2018-07-18,4932500.0
2018-09-20,4355800.0
2018-10-22,3346500.0
2019-07-05,5702100.0
2019-06-03,6022800.0
2019-10-09,7013600.0
2019-10-11,6967000.0
2020-03-17,3819500.0
2020-06-04,4064000.0
2019-10-14,4571300.0
2020-03-20,5772800.0
2018-11-06,5583100.0
2019-06-18,5281900.0
2019-05-17,8203700.0
2019-04-15,8305000.0
2019-03-14,11119500.0
2019-01-09,7778100.0
2018-08-02,6094500.0
2018-10-05,5133200.0
2019-08-21,4872000.0
2019-10-17,4475300.0
2020-03-23,13342600.0
2020-06-10,4654700.0
2019-02-25,5470000.0
2020-01-07,6672500.0
2020-03-26,9148700.0
2019-10-23,9986500.0
