Dates,FLS
2020-02-26,51.25
2020-05-15,51.18000030517578
2019-03-28,51.61000061035156
2018-09-17,51.790000915527344
2018-08-16,51.84000015258789
2018-10-19,51.5
2019-04-29,50.47999954223633
2019-01-23,49.630001068115234
2019-09-04,49.630001068115234
2018-11-20,45.31999969482422
2019-07-02,44.619998931884766
2019-05-31,43.970001220703125
2019-12-12,44.599998474121094
2020-05-18,44.0
2019-09-27,44.72999954223633
2020-03-03,43.439998626708984
2020-05-21,42.29999923706055
2019-05-14,42.029998779296875
2018-08-31,41.630001068115234
2018-07-30,41.400001525878906
2018-10-02,42.04999923706055
2019-04-12,42.540000915527344
2019-03-11,41.689998626708984
2019-02-07,41.93000030517578
2019-07-17,41.630001068115234
2019-09-19,40.0099983215332
2019-10-21,40.34000015258789
2019-12-18,40.119998931884766
2020-03-06,39.75
2019-10-03,41.40999984741211
2020-03-09,42.2599983215332
2020-05-27,41.040000915527344
2019-12-24,41.90999984741211
2020-03-12,42.27000045776367
2018-12-20,43.34000015258789
2019-08-01,44.20000076293945
2018-08-14,45.470001220703125
2018-07-13,46.41999816894531
2018-10-17,47.099998474121094
2019-05-29,47.79999923706055
2019-03-26,49.119998931884766
2019-02-22,48.4900016784668
2019-10-04,47.34000015258789
2019-11-05,47.4900016784668
2019-12-27,47.380001068115234
2020-06-02,45.9900016784668
2019-12-30,46.18000030517578
2020-03-18,46.04999923706055
2020-06-05,46.029998779296875
2019-07-15,46.279998779296875
2018-12-03,46.650001525878906
2019-06-13,45.439998626708984
2019-01-04,43.560001373291016
2018-08-29,42.18000030517578
2019-02-05,43.56999969482422
2018-11-01,43.75
2019-08-16,42.439998626708984
2019-04-10,42.58000183105469
2019-09-17,43.099998474121094
2019-10-15,44.470001220703125
2020-01-02,44.54999923706055
2020-06-08,44.650001525878906
2019-10-18,45.27000045776367
2020-03-24,45.47999954223633
2020-06-11,45.869998931884766
2020-01-08,46.369998931884766
2019-04-25,46.75
2019-07-30,47.599998474121094
2019-02-20,47.25
2018-07-11,47.68000030517578
2018-09-13,48.779998779296875
2018-10-15,48.54999923706055
2019-06-28,49.11000061035156
2018-12-18,46.900001525878906
2018-11-16,48.83000183105469
2019-10-02,49.790000915527344
2020-03-27,49.150001525878906
2020-01-10,48.7599983215332
2019-10-24,48.79999923706055
2020-03-30,48.5099983215332
2020-06-17,48.4900016784668
2020-01-14,48.68000030517578
2020-04-02,48.27000045776367
2019-01-02,48.27000045776367
2019-08-14,48.58000183105469
2018-10-30,48.06999969482422
2019-06-11,48.08000183105469
2019-05-10,47.66999816894531
2019-04-08,48.040000915527344
2018-08-27,48.209999084472656
2018-07-26,48.630001068115234
2018-09-28,48.61000061035156
2019-03-07,48.4900016784668
2019-10-30,48.41999816894531
2020-01-17,48.380001068115234
2020-06-23,46.70000076293945
2020-04-08,46.290000915527344
2020-06-26,46.54999923706055
2019-03-22,47.33000183105469
2019-01-17,47.720001220703125
2019-08-29,47.4900016784668
2018-11-14,47.84000015258789
2019-06-26,48.06999969482422
2018-09-11,48.29999923706055
2018-07-09,48.31999969482422
2018-08-10,47.689998626708984
2019-04-23,47.63999938964844
2019-09-30,48.58000183105469
2020-01-23,48.95000076293945
2019-11-08,49.68000030517578
2020-04-14,49.90999984741211
2019-11-11,49.40999984741211
2020-01-29,49.630001068115234
2020-04-17,49.56999969482422
2018-07-24,49.54999923706055
2018-09-26,49.81999969482422
2019-05-08,49.41999816894531
2019-03-05,49.130001068115234
2019-02-01,49.220001220703125
2018-12-31,49.2400016784668
2018-11-29,50.29999923706055
2019-08-12,49.61000061035156
2019-07-11,49.599998474121094
2019-09-13,49.45000076293945
2019-11-14,49.22999954223633
2020-04-20,49.849998474121094
2020-02-04,50.220001220703125
2020-04-23,49.369998931884766
2018-12-14,48.58000183105469
2019-08-27,47.560001373291016
2018-08-08,47.7400016784668
2018-10-11,46.7400016784668
2018-11-12,46.9900016784668
2019-07-26,47.88999938964844
2019-06-24,47.34000015258789
2019-05-23,46.13999938964844
2019-03-20,46.29999923706055
2019-01-15,47.279998779296875
2019-11-20,48.04999923706055
2020-02-07,48.84000015258789
