Dates,BBD
2019-02-15,9.201904296875
2019-01-14,9.467491149902344
2018-07-06,9.240962028503418
2018-08-07,9.6237211227417
2018-10-10,9.678398132324219
2018-12-13,9.459681510925293
2019-08-26,9.326882362365723
2019-07-25,9.28782844543457
2019-05-22,9.27220630645752
2019-03-19,9.186279296875
2020-01-06,9.350319862365723
2020-03-25,9.295638084411621
2020-06-12,8.967557907104492
2019-10-22,8.772272109985352
2020-01-09,8.764459609985352
2020-06-15,8.842576026916504
2019-10-25,8.580775260925293
2020-03-31,8.549515724182129
2020-06-18,8.674556732177734
2019-04-03,9.104376792907715
2018-08-22,9.151267051696777
2018-10-25,9.245046615600586
2019-01-29,9.221601486206055
2018-12-28,9.307564735412598
2018-11-26,9.448232650756836
2019-08-09,9.27630615234375
2019-07-08,9.112192153930664
2019-06-06,8.768335342407227
2019-09-10,8.244735717773438
2020-01-15,8.354144096374512
2020-04-03,8.416666030883789
2019-10-31,7.971214294433594
2020-04-06,8.354144096374512
2020-06-24,8.526073455810547
2018-11-09,8.68393611907959
2019-07-23,8.599534034729004
2019-06-21,8.487000465393066
2019-05-20,8.730826377868652
2019-04-18,8.810580253601074
2018-09-06,8.829343795776367
2018-10-08,8.773046493530273
2019-02-13,8.763664245605469
2018-12-11,8.538474082946777
2019-09-25,8.388346672058105
2020-01-21,8.39773178100586
2020-04-09,8.31328296661377
2019-11-06,8.153772354125977
2020-01-24,8.275751113891602
2020-01-27,8.32266616821289
2020-04-15,8.519708633422852
2018-12-26,8.332049369812012
2019-08-07,8.51032543182373
2019-06-04,8.55724048614502
2018-09-21,8.416497230529785
2018-07-19,8.500944137573242
2018-08-20,8.369580268859863
2018-10-23,8.425877571105957
2019-05-03,8.571393966674805
2019-04-01,8.28036117553711
2019-02-28,8.214645385742188
2019-11-12,8.449348449707031
2020-01-30,8.270973205566406
2019-11-15,8.224032402038574
2020-04-21,7.923609256744385
2019-04-16,7.9142255783081055
2019-03-15,7.764013290405273
2019-02-11,7.595025539398193
2019-01-10,7.519920825958252
2019-08-22,7.717071533203125
2018-11-07,8.101985931396484
2018-08-03,8.092597007751465
2018-09-04,8.00810432434082
2019-06-19,7.970552444458008
2019-09-23,8.224032402038574
2019-11-18,8.47751235961914
2020-02-05,8.665275573730469
2020-04-24,8.787322044372559
2019-03-29,8.853042602539062
2019-11-21,8.961061477661133
2020-04-27,8.773197174072266
2020-02-11,8.970453262329102
2020-04-30,8.99863338470459
2019-05-01,8.876521110534668
2019-02-26,9.017422676086426
2019-01-25,8.829556465148926
2018-12-24,8.820164680480957
2019-09-06,8.622907638549805
2018-07-17,8.622907638549805
2018-09-19,8.754411697387695
2019-08-05,8.942276000976562
2019-10-08,9.13013744354248
2019-12-11,9.13013744354248
2019-11-27,9.280428886413574
2020-02-14,9.120746612548828
2020-05-06,9.261641502380371
2019-01-08,9.224068641662598
2018-12-07,9.224068641662598
2019-08-20,9.194802284240723
2018-11-05,9.180636405944824
2019-07-19,9.293978691101074
