Dates,LRCX
2018-08-07,175.7698211669922
2018-10-10,175.53717041015625
2018-12-13,174.7810821533203
2019-08-26,176.62283325195312
2019-07-25,173.3367919921875
2019-05-22,173.72451782226562
2019-03-19,174.0928497314453
2020-01-06,173.08473205566406
2020-03-25,171.7664337158203
2020-06-12,170.6905059814453
2019-10-22,171.33023071289062
2020-01-09,172.31898498535156
2020-06-15,168.2186737060547
2019-10-25,164.00205993652344
2020-03-31,162.03431701660156
2020-06-18,163.65310668945312
2019-04-03,166.735595703125
2018-08-22,166.78404235839844
2018-10-25,165.18466186523438
2019-01-29,171.1169891357422
2018-12-28,176.79730224609375
2018-11-26,174.67445373535156
2019-08-09,174.9182891845703
2019-07-08,171.39749145507812
2019-06-06,179.25833129882812
2019-09-10,175.0157928466797
2020-01-15,174.66470336914062
2020-04-03,175.6009979248047
2019-10-31,173.25051879882812
2020-04-06,171.33895874023438
2020-06-24,174.586669921875
2018-11-09,180.13607788085938
2019-07-23,179.70693969726562
2019-06-21,186.80706787109375
2019-05-20,186.30967712402344
2019-04-18,190.32785034179688
2018-09-06,188.79666137695312
2018-10-08,185.75376892089844
2019-02-13,186.12437438964844
2018-12-11,186.58273315429688
2019-09-25,189.28431701660156
2020-01-21,188.04568481445312
2020-04-09,189.8109588623047
2019-11-06,191.439697265625
2020-01-24,189.95724487304688
2020-01-27,190.39613342285156
2020-04-15,189.96701049804688
2018-12-26,190.61068725585938
2019-08-07,200.0124969482422
2019-06-04,201.29013061523438
2018-09-21,201.02679443359375
2018-07-19,202.30441284179688
2018-08-20,198.920166015625
2018-10-23,201.72900390625
2019-05-03,202.6457977294922
2019-04-01,199.48583984375
2019-02-28,194.99951171875
2019-11-12,194.7751922607422
2020-01-30,193.7218780517578
2019-11-15,193.00991821289062
2020-04-21,183.64712524414062
2019-04-16,187.68484497070312
2019-03-15,190.64971923828125
2019-02-11,189.65492248535156
2019-01-10,189.36233520507812
2019-08-22,179.1315460205078
2018-11-07,182.29148864746094
2018-08-03,182.55479431152344
2018-09-04,180.8675537109375
2019-06-19,177.4052734375
2019-09-23,174.49891662597656
2019-11-18,173.21153259277344
2020-02-05,174.20631408691406
2020-04-24,170.29541015625
2019-03-29,168.16928100585938
2019-11-21,175.96185302734375
2020-04-27,177.8148956298828
2020-02-11,180.07757568359375
2020-04-30,182.06715393066406
2019-05-01,186.4462127685547
2019-02-26,186.299072265625
2019-01-25,176.45050048828125
2018-12-24,176.75460815429688
2019-09-06,173.42922973632812
2018-07-17,169.22100830078125
2018-09-19,176.99981689453125
2019-08-05,177.9611358642578
2019-10-08,180.4527130126953
2019-12-11,179.5404510498047
2019-11-27,177.81399536132812
2020-02-14,172.46791076660156
2020-05-06,177.8238067626953
2019-01-08,182.5813446044922
2018-12-07,184.2587127685547
2019-08-20,187.69200134277344
2018-11-05,183.62112426757812
2019-07-19,181.33554077148438
2018-10-04,180.13880920410156
2019-06-17,177.94149780273438
2019-05-16,179.58949279785156
2018-08-01,180.70774841308594
2019-03-13,181.36497497558594
2019-12-03,187.59393310546875
2020-02-20,189.0751190185547
2019-12-06,186.19117736816406
2020-05-12,188.06475830078125
2019-12-09,194.4506378173828
2020-02-26,194.68606567382812
2020-05-15,203.25942993164062
2019-03-28,205.76080322265625
2018-09-17,212.84315490722656
2018-08-16,206.73193359375
2018-10-19,206.73193359375
2019-04-29,206.80062866210938
2019-01-23,207.29107666015625
2019-09-04,204.6327362060547
2018-11-20,201.83706665039062
