Dates,SYK
2018-12-20,221.39999389648438
2019-08-01,217.17999267578125
2018-08-14,213.69000244140625
2018-07-13,217.9499969482422
2018-10-17,220.0399932861328
2019-05-29,218.17999267578125
2019-03-26,215.2899932861328
2019-02-22,218.39999389648438
2019-10-04,220.47999572753906
2019-11-05,221.0500030517578
2019-12-27,221.1999969482422
2020-06-02,220.19000244140625
2019-12-30,217.99000549316406
2020-03-18,217.9499969482422
2020-06-05,216.38999938964844
2019-07-15,213.61000061035156
2018-12-03,216.3000030517578
2019-06-13,212.72000122070312
2019-01-04,209.10000610351562
2018-08-29,213.1300048828125
2019-02-05,215.49000549316406
2018-11-01,212.94000244140625
2019-08-16,207.8800048828125
2019-04-10,210.8699951171875
2019-09-17,211.2899932861328
2019-10-15,213.80999755859375
2020-01-02,212.66000366210938
2020-06-08,214.9499969482422
2019-10-18,215.75
2020-03-24,215.55999755859375
2020-06-11,215.32000732421875
2020-01-08,215.07000732421875
2019-04-25,209.75999450683594
2019-07-30,210.4600067138672
2019-02-20,211.41000366210938
2018-07-11,211.6199951171875
2018-09-13,213.72000122070312
2018-10-15,220.52999877929688
2019-06-28,217.08999633789062
2018-12-18,216.27000427246094
2018-11-16,212.77000427246094
2019-10-02,205.1699981689453
2020-03-27,198.3699951171875
2020-01-10,201.00999450683594
2019-10-24,200.77999877929688
2020-03-30,199.77999877929688
2020-06-17,198.4199981689453
2020-01-14,200.17999267578125
2020-04-02,201.72999572753906
2019-01-02,203.16000366210938
2019-08-14,206.25
2018-10-30,205.05999755859375
2019-06-11,207.1199951171875
2019-05-10,204.3000030517578
2019-04-08,201.27999877929688
2018-08-27,201.58999633789062
2018-07-26,203.10000610351562
2018-09-28,202.4600067138672
2019-03-07,204.94000244140625
2019-10-30,204.86000061035156
2020-01-17,202.3300018310547
2020-06-23,203.07000732421875
2020-04-08,204.3699951171875
2020-06-26,203.2100067138672
2019-03-22,203.99000549316406
2019-01-17,200.39999389648438
2019-08-29,198.1300048828125
2018-11-14,197.97999572753906
2019-06-26,199.77000427246094
2018-09-11,202.92999267578125
2018-07-09,204.25
2018-08-10,203.4600067138672
2019-04-23,208.52000427246094
2019-09-30,208.0800018310547
2020-01-23,210.0
2019-11-08,212.5399932861328
2020-04-14,211.5800018310547
2019-11-11,209.75
2020-01-29,210.5500030517578
2020-04-17,208.72999572753906
2018-07-24,209.94000244140625
2018-09-26,210.4499969482422
2019-05-08,209.58999633789062
2019-03-05,212.22000122070312
2019-02-01,209.6199951171875
2018-12-31,210.69000244140625
2018-11-29,211.6300048828125
2019-08-12,209.64999389648438
2019-07-11,206.88999938964844
2019-09-13,207.9600067138672
2019-11-14,206.75
2020-04-20,209.4600067138672
2020-02-04,212.1699981689453
2020-04-23,214.64999389648438
2018-12-14,217.07000732421875
2019-08-27,216.22000122070312
2018-08-08,214.22999572753906
2018-10-11,214.60000610351562
2018-11-12,214.1999969482422
2019-07-26,210.67999267578125
2019-06-24,213.8300018310547
2019-05-23,210.6999969482422
2019-03-20,211.63999938964844
2019-01-15,216.35000610351562
2019-11-20,217.72999572753906
2020-02-07,218.24000549316406
2020-02-10,214.80999755859375
2020-04-29,217.22999572753906
2019-11-26,218.13999938964844
2020-02-13,216.0800018310547
2019-01-30,217.41000366210938
2018-08-23,221.5399932861328
2018-09-24,221.92999267578125
2018-11-27,225.10000610351562
2018-10-26,224.47000122070312
2019-07-09,224.3000030517578
2019-06-07,215.5500030517578
2019-05-06,206.30999755859375
2019-04-04,201.66000366210938
2019-09-11,194.85000610351562
2019-11-29,190.58999633789062
2020-05-05,197.22000122070312
2019-12-02,188.8300018310547
