Dates,PHM
2019-07-02,30.940053939819336
2019-05-31,30.712989807128906
2019-12-12,30.535287857055664
2020-05-18,31.43367576599121
2019-09-27,32.095123291015625
2020-03-03,31.660737991333008
2020-05-21,31.078266143798828
2019-05-14,31.83843994140625
2018-08-31,31.255971908569336
2018-07-30,30.999286651611328
2018-10-02,31.660737991333008
2019-04-12,32.095123291015625
2019-03-11,32.23333740234375
2019-02-07,32.470272064208984
2019-07-17,32.7368278503418
2019-09-19,32.28269958496094
2019-10-21,32.76644515991211
2019-12-18,32.963890075683594
2020-03-06,32.993507385253906
2019-10-03,33.25019073486328
2020-03-09,33.36865997314453
2020-05-27,33.55624008178711
2019-12-24,34.02023696899414
2020-03-12,33.81291580200195
2018-12-20,34.12883758544922
2019-08-01,34.316410064697266
2018-08-14,33.822792053222656
2018-07-13,34.32628631591797
2018-10-17,34.62245559692383
2019-05-29,34.80015563964844
2019-03-26,34.750797271728516
2019-02-22,35.06770324707031
2019-10-04,34.57253646850586
2019-11-05,35.117218017578125
2019-12-27,35.33509063720703
2020-06-02,35.315284729003906
2019-12-30,35.67180633544922
2020-03-18,35.84016418457031
2020-06-05,35.830257415771484
2019-07-15,35.57277297973633
2018-12-03,36.19668197631836
2019-06-13,36.077842712402344
2019-01-04,35.869873046875
2018-08-29,35.82035446166992
2019-02-05,36.73146057128906
2018-11-01,36.39474868774414
2019-08-16,36.26600646972656
2019-04-10,36.54330062866211
2019-09-17,36.59281921386719
2019-10-15,36.53339385986328
2020-01-02,36.70175552368164
2020-06-08,36.949337005615234
2019-10-18,37.860443115234375
2020-03-24,37.87034606933594
2020-06-11,37.92976379394531
2020-01-08,37.820823669433594
2019-04-25,39.04884338378906
2019-07-30,39.444976806640625
2019-02-20,40.63337326049805
2018-07-11,40.01936721801758
2018-09-13,39.08845520019531
2018-10-15,38.62299728393555
2019-06-28,39.1874885559082
2018-12-18,38.860679626464844
2018-11-16,39.64303970336914
2019-10-02,37.781219482421875
2020-03-27,37.90995788574219
2020-01-10,38.45464324951172
2019-10-24,37.68218231201172
2020-03-30,37.8109245300293
2020-06-17,38.424930572509766
2020-01-14,38.39522171020508
2020-04-02,38.860679626464844
2019-01-02,38.9696159362793
2019-08-14,38.533870697021484
2018-10-30,39.1082649230957
2019-06-11,38.999324798583984
2019-05-10,39.256813049316406
2019-04-08,38.60319519042969
2018-08-27,38.5041618347168
2018-07-26,39.058746337890625
2018-09-28,39.70246124267578
2019-03-07,39.43507385253906
2019-10-30,39.26671600341797
2020-01-17,38.76164627075195
2020-06-23,38.98942184448242
2020-04-08,39.00922775268555
2020-06-26,39.8114013671875
2019-03-22,39.67275619506836
2019-01-17,39.771785736083984
2019-08-29,39.88072204589844
2018-11-14,40.316471099853516
2019-06-26,39.246910095214844
2018-09-11,39.989662170410156
2018-07-09,39.633140563964844
2018-08-10,39.28548049926758
2019-04-23,38.65968704223633
2019-09-30,38.34183120727539
2020-01-23,39.35500717163086
2019-11-08,38.639827728271484
2020-04-14,38.88815689086914
2019-11-11,38.71929168701172
2020-01-29,38.53056335449219
2020-04-17,38.54049301147461
2018-07-24,38.54049301147461
2018-09-26,38.42129898071289
2019-05-08,38.7590217590332
2019-03-05,39.04708480834961
2019-02-01,39.30534362792969
2018-12-31,39.66293716430664
2018-11-29,39.543739318847656
2019-08-12,39.722537994384766
2019-07-11,40.15959167480469
2019-09-13,40.66617965698242
2019-11-14,41.03371047973633
2020-04-20,41.38136291503906
2020-02-04,41.510498046875
2020-04-23,42.2554817199707
2018-12-14,42.593204498291016
2019-08-27,43.55671691894531
2018-08-08,43.41765594482422
2018-10-11,44.00370788574219
2018-11-12,46.5267219543457
2019-07-26,45.7022705078125
2019-06-24,45.37447738647461
2019-05-23,44.35137176513672
2019-03-20,44.36130142211914
2019-01-15,43.78518295288086
2019-11-20,44.967220306396484
2020-02-07,45.18574905395508
2020-02-10,45.79166793823242
2020-04-29,46.34792709350586
2019-11-26,46.6657829284668
2020-02-13,46.387657165527344
2019-01-30,46.377723693847656
2018-08-23,46.377723693847656
2018-09-24,46.33799362182617
2018-11-27,46.23866271972656
2018-10-26,46.35785675048828
2019-07-09,46.09959411621094
2019-06-07,44.947357177734375
2019-05-06,43.060062408447266
2019-04-04,41.78862380981445
2019-09-11,41.46083068847656
2019-11-29,39.93113327026367
2020-05-05,41.272098541259766
2019-12-02,41.90782165527344
2020-02-19,44.12290573120117
2020-05-08,42.67266845703125
2019-05-21,41.22243881225586
2019-03-18,38.37163162231445
2018-09-07,39.36494445800781
2018-08-06,35.1036376953125
2018-10-09,30.389263153076172
2019-02-14,30.42913055419922
2018-12-12,24.00044059753418
2019-07-24,23.01371192932129
2019-09-26,19.39570426940918
2019-10-28,19.46547508239746
2019-12-05,19.704681396484375
2020-05-11,17.681386947631836
2019-07-03,22.007049560546875
2020-02-25,24.139978408813477
2020-05-14,25.62505531311035
2020-02-28,24.438987731933594
2019-08-08,23.68149757385254
2019-06-05,22.24625587463379
2018-07-20,20.731277465820312
2018-08-21,19.7246150970459
2018-10-24,18.85748863220215
2019-04-02,21.628305435180664
2019-03-01,22.95391082763672
2019-01-28,25.435684204101562
2018-12-27,26.252973556518555
2019-09-09,24.718061447143555
2020-03-02,25.595155715942383
2020-05-20,23.801101684570312
2019-12-17,24.1898136138916
2020-03-05,25.435684204101562
2019-02-12,24.22968101501465
2019-01-11,24.10011100769043
2018-12-10,23.9904727935791
2019-08-23,23.791135787963867
2018-11-08,25.555286407470703
2019-07-22,27.149999618530273
2019-06-20,28.89421844482422
2018-09-05,30.189924240112305
2019-04-17,28.176597595214844
2019-09-24,27.149999618530273
2019-12-20,27.179901123046875
2020-05-26,27.708148956298828
2019-04-30,27.538711547851562
2019-12-23,28.086894989013672
