Dates,DPZ
2019-03-11,232.42999267578125
2019-02-07,231.52000427246094
2019-07-17,231.85000610351562
2019-09-19,226.14999389648438
2019-10-21,227.69000244140625
2019-12-18,222.4499969482422
2020-03-06,225.85000610351562
2019-10-03,225.25999450683594
2020-03-09,226.83999633789062
2020-05-27,226.8699951171875
2019-12-24,239.05999755859375
2020-03-12,244.8300018310547
2018-12-20,237.35000610351562
2019-08-01,239.1999969482422
2018-08-14,243.57000732421875
2018-07-13,249.08999633789062
2018-10-17,246.7899932861328
2019-05-29,245.0500030517578
2019-03-26,244.7899932861328
2019-02-22,243.5399932861328
2019-10-04,245.0
2019-11-05,247.00999450683594
2019-12-27,247.6199951171875
2020-06-02,246.25999450683594
2019-12-30,242.97000122070312
2020-03-18,241.4499969482422
2020-06-05,239.4600067138672
2019-07-15,240.4600067138672
2018-12-03,244.58999633789062
2019-06-13,245.77000427246094
2019-01-04,241.75
2018-08-29,243.35000610351562
2019-02-05,242.1300048828125
2018-11-01,242.2100067138672
2019-08-16,253.47999572753906
2019-04-10,248.19000244140625
2019-09-17,254.77000427246094
2019-10-15,257.7900085449219
2020-01-02,252.1999969482422
2020-06-08,255.72999572753906
2019-10-18,255.9600067138672
2020-03-24,256.45001220703125
2020-06-11,255.6999969482422
2020-01-08,257.5199890136719
2019-04-25,258.94000244140625
2019-07-30,256.0
2019-02-20,263.6000061035156
2018-07-11,271.75
2018-09-13,269.4599914550781
2018-10-15,263.17999267578125
2019-06-28,270.8999938964844
2018-12-18,271.6199951171875
2018-11-16,269.260009765625
2019-10-02,269.2900085449219
2020-03-27,276.30999755859375
2020-01-10,277.82000732421875
2019-10-24,282.67999267578125
2020-03-30,280.6600036621094
2020-06-17,280.69000244140625
2020-01-14,277.8800048828125
2020-04-02,279.3999938964844
2019-01-02,278.6600036621094
2019-08-14,281.4100036621094
2018-10-30,284.6099853515625
2019-06-11,285.739990234375
2019-05-10,288.239990234375
2019-04-08,284.04998779296875
2018-08-27,285.760009765625
2018-07-26,293.0
2018-09-28,289.1400146484375
2019-03-07,295.3299865722656
2019-10-30,294.29998779296875
2020-01-17,294.04998779296875
2020-06-23,284.0899963378906
2020-04-08,286.0
2020-06-26,286.8699951171875
2019-03-22,286.57000732421875
2019-01-17,286.3699951171875
2019-08-29,285.239990234375
2018-11-14,293.6199951171875
2019-06-26,296.6499938964844
2018-09-11,294.92999267578125
2018-07-09,292.1499938964844
2018-08-10,291.75
2019-04-23,284.32000732421875
2019-09-30,292.0
2020-01-23,292.0
2019-11-08,288.2699890136719
2020-04-14,289.6400146484375
2019-11-11,292.239990234375
2020-01-29,292.30999755859375
2020-04-17,293.25
2018-07-24,293.7799987792969
2018-09-26,293.3999938964844
2019-05-08,294.6700134277344
2019-03-05,293.95001220703125
2019-02-01,291.8500061035156
2018-12-31,290.55999755859375
2018-11-29,288.8999938964844
2019-08-12,289.0899963378906
2019-07-11,284.0
2019-09-13,285.1199951171875
2019-11-14,288.57000732421875
2020-04-20,287.3599853515625
2020-02-04,286.4700012207031
2020-04-23,285.1099853515625
2018-12-14,285.9100036621094
2019-08-27,288.0199890136719
2018-08-08,285.1000061035156
2018-10-11,282.8900146484375
2018-11-12,284.17999267578125
2019-07-26,285.4700012207031
2019-06-24,282.3999938964844
2019-05-23,281.75
2019-03-20,270.75
2019-01-15,273.3999938964844
2019-11-20,278.010009765625
2020-02-07,279.4100036621094
2020-02-10,275.510009765625
2020-04-29,274.8500061035156
2019-11-26,275.75
2020-02-13,281.0299987792969
2019-01-30,286.0299987792969
2018-08-23,291.6000061035156
2018-09-24,295.7799987792969
2018-11-27,297.1000061035156
2018-10-26,373.1600036621094
2019-07-09,371.9599914550781
2019-06-07,363.010009765625
2019-05-06,368.6600036621094
2019-04-04,366.6700134277344
2019-09-11,347.8599853515625
2019-11-29,339.4599914550781
2020-05-05,347.5199890136719
2019-12-02,339.4700012207031
2020-02-19,341.8900146484375
2020-05-08,333.0299987792969
2019-05-21,336.4100036621094
2019-03-18,336.6700134277344
2018-09-07,343.95001220703125
2018-08-06,332.6600036621094
2018-10-09,317.1099853515625
2019-02-14,316.6300048828125
2018-12-12,286.32000732421875
2019-07-24,298.739990234375
2019-09-26,290.0
2019-10-28,323.1400146484375
2019-12-05,299.95001220703125
2020-05-11,323.8699951171875
2019-07-03,343.55999755859375
2020-02-25,321.45001220703125
2020-05-14,338.510009765625
2020-02-28,338.739990234375
2019-08-08,346.75
2019-06-05,324.07000732421875
2018-07-20,333.7699890136719
2018-08-21,333.45001220703125
2018-10-24,328.2300109863281
2019-04-02,338.5199890136719
2019-03-01,333.9599914550781
2019-01-28,343.8299865722656
2018-12-27,343.6400146484375
2019-09-09,355.1400146484375
2020-03-02,358.260009765625
2020-05-20,354.6199951171875
2019-12-17,360.4700012207031
2020-03-05,362.9700012207031
2019-02-12,370.4800109863281
2019-01-11,365.2200012207031
2018-12-10,383.75
2019-08-23,369.6400146484375
2018-11-08,367.2900085449219
2019-07-22,362.0299987792969
2019-06-20,356.010009765625
2018-09-05,362.010009765625
2019-04-17,361.92999267578125
2019-09-24,357.29998779296875
2019-12-20,359.1000061035156
2020-05-26,371.4599914550781
2019-04-30,372.29998779296875
2019-12-23,367.1700134277344
2020-03-11,369.1099853515625
2020-05-29,377.489990234375
2019-12-26,377.94000244140625
2020-06-01,384.9599914550781
2019-05-02,376.010009765625
2019-02-27,376.0400085449219
2018-11-23,364.5
2019-08-06,370.010009765625
2018-07-18,377.239990234375
2018-09-20,375.239990234375
2018-10-22,372.1000061035156
2019-07-05,360.1600036621094
2019-06-03,373.9700012207031
2019-10-09,365.54998779296875
2019-10-11,385.8399963378906
2020-03-17,383.5799865722656
2020-06-04,384.8599853515625
2019-10-14,390.1400146484375
2020-03-20,382.7799987792969
2018-11-06,376.4100036621094
2019-06-18,375.82000732421875
2019-05-17,382.2200012207031
2019-04-15,392.32000732421875
2019-03-14,382.7900085449219
2019-01-09,378.1499938964844
2018-08-02,377.9200134277344
2018-10-05,374.8599853515625
2019-08-21,380.6700134277344
2019-10-17,375.54998779296875
2020-03-23,378.4100036621094
2020-06-10,384.6300048828125
2019-02-25,377.54998779296875
2020-01-07,375.4800109863281
2020-03-26,373.70001220703125
2019-10-23,365.80999755859375
