Dates,GOOG
2020-01-15,1206.39794921875
2020-04-03,1202.8299560546875
2019-10-31,1187.5589599609375
2020-04-06,1171.56494140625
2020-06-24,1178.989990234375
2018-11-09,1196.6600341796875
2019-07-23,1201.3499755859375
2019-06-21,1216.300048828125
2019-05-20,1215.6700439453125
2019-04-18,1216.219970703125
2018-09-06,1208.68994140625
2018-10-08,1202.2900390625
2019-02-13,1203.7850341796875
2018-12-11,1207.9599609375
2019-09-25,1218.3499755859375
2020-01-21,1224.199951171875
2020-04-09,1230.8199462890625
2019-11-06,1240.56005859375
2020-01-24,1242.0
2020-01-27,1249.0899658203125
2020-04-15,1269.0
2018-12-26,1268.010009765625
2019-08-07,1267.407958984375
2019-06-04,1273.0699462890625
2018-09-21,1289.27001953125
2018-07-19,1192.81005859375
2018-08-20,1188.050048828125
2018-10-23,1174.18994140625
2019-05-03,1186.800048828125
2019-04-01,1190.8499755859375
2019-02-28,1190.43994140625
2019-11-12,1180.4239501953125
2020-01-30,1169.6600341796875
2019-11-15,1172.5999755859375
2020-04-21,1147.93994140625
2019-04-16,1140.4200439453125
2019-03-15,1171.3299560546875
2019-02-11,1188.1600341796875
2019-01-10,1180.1500244140625
2019-08-22,1146.7969970703125
2018-11-07,1152.7080078125
2018-08-03,1158.52001953125
2018-09-04,1145.9730224609375
2019-06-19,1149.7650146484375
2019-09-23,1151.5870361328125
2019-11-18,1129.0999755859375
2020-02-05,1123.1300048828125
2020-04-24,1109.5999755859375
2019-03-29,1065.5
2019-11-21,1056.050048828125
2020-04-27,1053.550048828125
2020-02-11,1047.489990234375
2020-04-30,1070.9200439453125
2019-05-01,1092.6600341796875
2019-02-26,1101.989990234375
2019-01-25,1080.9300537109375
2018-12-24,1094.1700439453125
2019-09-06,1092.68994140625
2018-07-17,1099.1800537109375
2018-09-19,1116.3900146484375
2019-08-05,1107.0
2019-10-08,1120.1199951171875
2019-12-11,1124.1099853515625
2019-11-27,1122.0
2020-02-14,1114.3499755859375
2020-05-06,1092.969970703125
2019-01-08,1087.0999755859375
2018-12-07,1081.0
2019-08-20,1107.5799560546875
2018-11-05,1111.77001953125
2019-07-19,1126.760009765625
2018-10-04,1132.8800048828125
2019-06-17,1125.97998046875
2019-05-16,1128.0250244140625
2018-08-01,1142.050048828125
2019-03-13,1153.0699462890625
2019-12-03,1147.3399658203125
2020-02-20,1150.8199462890625
2019-12-06,1158.5799560546875
2020-05-12,1158.3599853515625
2019-12-09,1147.60498046875
2020-02-26,1151.1400146484375
2020-05-15,1139.25
2019-03-28,1146.9000244140625
2018-09-17,1144.0
2018-08-16,1141.699951171875
2018-10-19,1265.550048828125
2019-04-29,1247.3699951171875
2019-01-23,1234.8699951171875
2019-09-04,1234.0
2018-11-20,1234.1099853515625
2019-07-02,1206.9000244140625
2019-05-31,1175.239990234375
2019-12-12,1179.9599609375
2020-05-18,1178.4449462890625
2019-09-27,1205.010009765625
2020-03-03,1203.8800048828125
2020-05-21,1184.9599609375
2019-05-14,1204.780029296875
2018-08-31,1182.300048828125
2018-07-30,1175.8399658203125
2018-10-02,1182.719970703125
2019-04-12,1206.989990234375
2019-03-11,1196.06005859375
2019-02-07,1199.0
2019-07-17,1198.011962890625
2019-09-19,1194.0799560546875
2019-10-21,1169.469970703125
2019-12-18,1182.4000244140625
2020-03-06,1176.4200439453125
2019-10-03,1196.06005859375
2020-03-09,1198.5
2020-05-27,1186.8900146484375
2019-12-24,1183.47998046875
2020-03-12,1213.0400390625
2018-12-20,1212.0150146484375
2019-08-01,1220.0
2018-08-14,1210.0
2018-07-13,1222.5999755859375
2018-10-17,1241.8599853515625
2019-05-29,1240.8800048828125
2019-03-26,1239.56005859375
2019-02-22,1235.0
2019-10-04,1235.6099853515625
2019-11-05,1244.43994140625
