Dates,ANET
2020-03-17,540900.0
2020-06-04,883900.0
2019-10-14,616500.0
2020-03-20,450100.0
2018-11-06,550900.0
2019-06-18,431500.0
2019-05-17,428700.0
2019-04-15,347200.0
2019-03-14,880900.0
2019-01-09,615600.0
2018-08-02,432800.0
2018-10-05,519200.0
2019-08-21,572800.0
2019-10-17,1146200.0
2020-03-23,1192100.0
2020-06-10,539500.0
2019-02-25,834700.0
2020-01-07,953200.0
2020-03-26,524600.0
2019-10-23,1018100.0
