Dates,MAR
2019-01-02,132.94000244140625
2019-08-14,134.1699981689453
2018-10-30,135.02999877929688
2019-06-11,135.22999572753906
2019-05-10,131.25999450683594
2019-04-08,131.35000610351562
2018-08-27,132.83999633789062
2018-07-26,136.60000610351562
2018-09-28,137.33999633789062
2019-03-07,140.10000610351562
2019-10-30,140.05999755859375
2020-01-17,139.8800048828125
2020-06-23,137.75999450683594
2020-04-08,138.3800048828125
2020-06-26,139.50999450683594
2019-03-22,141.0
2019-01-17,141.32000732421875
2019-08-29,140.1999969482422
2018-11-14,140.8000030517578
2019-06-26,142.3300018310547
2018-09-11,144.30999755859375
2018-07-09,147.05999755859375
2018-08-10,147.69000244140625
2019-04-23,148.3800048828125
2019-09-30,149.16000366210938
2020-01-23,148.52000427246094
2019-11-08,150.6199951171875
2020-04-14,150.66000366210938
2019-11-11,151.5500030517578
2020-01-29,152.52999877929688
2020-04-17,151.24000549316406
2018-07-24,150.80999755859375
2018-09-26,151.02999877929688
2019-05-08,148.74000549316406
2019-03-05,146.2100067138672
2019-02-01,144.67999267578125
2018-12-31,144.72000122070312
2018-11-29,146.1999969482422
2019-08-12,145.0500030517578
2019-07-11,145.5399932861328
2019-09-13,146.11000061035156
2019-11-14,146.64999389648438
2020-04-20,147.5
2020-02-04,148.07000732421875
2020-04-23,143.4199981689453
2018-12-14,143.75
2019-08-27,141.25
2018-08-08,139.83999633789062
2018-10-11,133.36000061035156
2018-11-12,138.32000732421875
2019-07-26,140.3800048828125
2019-06-24,138.8300018310547
2019-05-23,138.9499969482422
2019-03-20,140.8699951171875
2019-01-15,143.67999267578125
2019-11-20,147.30999755859375
2020-02-07,145.77999877929688
2020-02-10,142.77999877929688
2020-04-29,142.4499969482422
2019-11-26,145.22000122070312
2020-02-13,148.0399932861328
2019-01-30,146.66000366210938
2018-08-23,143.89999389648438
2018-09-24,144.22999572753906
2018-11-27,144.55999755859375
2018-10-26,146.27000427246094
2019-07-09,142.5399932861328
2019-06-07,134.22000122070312
2019-05-06,123.4800033569336
2019-04-04,119.8499984741211
2019-09-11,114.45999908447266
2019-11-29,116.0
2020-05-05,116.63999938964844
2019-12-02,113.87999725341797
2020-02-19,111.27999877929688
2020-05-08,108.80000305175781
2019-05-21,103.88999938964844
2019-03-18,101.76000213623047
2018-09-07,102.80000305175781
2018-08-06,99.55999755859375
2018-10-09,88.76000213623047
2019-02-14,91.5999984741211
2018-12-12,78.12000274658203
2019-07-24,67.73999786376953
2019-09-26,46.560001373291016
2019-10-28,52.650001525878906
2019-12-05,69.5199966430664
2020-05-11,67.27999877929688
2019-07-03,75.0
2020-02-25,79.2300033569336
2020-05-14,80.58999633789062
2020-02-28,76.25
2019-08-08,72.83999633789062
2019-06-05,74.5199966430664
2018-07-20,67.6500015258789
2018-08-21,61.54999923706055
2018-10-24,57.0
2019-04-02,63.779998779296875
2019-03-01,72.68000030517578
2019-01-28,74.95999908447266
2018-12-27,79.66999816894531
2019-09-09,75.70999908447266
2020-03-02,78.86000061035156
2020-05-20,77.52999877929688
2019-12-17,76.25
2020-03-05,82.29000091552734
2019-02-12,79.29000091552734
2019-01-11,77.11000061035156
2018-12-10,78.75
2019-08-23,79.95999908447266
2018-11-08,78.4000015258789
2019-07-22,81.52999877929688
2019-06-20,84.5199966430664
2018-09-05,90.37000274658203
2019-04-17,89.2699966430664
2019-09-24,84.2300033569336
2019-12-20,80.41000366210938
2020-05-26,83.06999969482422
2019-04-30,80.87000274658203
2019-12-23,83.05000305175781
2020-03-11,85.6500015258789
2020-05-29,81.51000213623047
2019-12-26,79.2699966430664
2020-06-01,74.56999969482422
